TITULO-DO-JORNAL-OU-REVISTA,ISSN,DATA-DE-PUBLICACAO,VOLUME,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,TEXTO-EM-JORNAL-OU-REVISTA_Id
"Página Central","","05121998","","26","28","São Paulo",0
"Fórum Internacional","","","","","","",1
"Revista Reportagem","","15072004","","49","","",2
"Revista Reportagem","","01052001","","","","",3
"Folha de S. Paulo","","17042001","","3","3","São Paulo",4
"Correio da Cidadania","","15022004","","","","",5
"Correio da Cidadania","","08022004","","","","",6
"Correio da Cidadania","","28062003","","","","",7
"Folha de S. Paulo","","27102010","","Cotidiano 2","","São Paulo",8
"Cadernos de Urbanismo","","01112003","","23","27","Rio de Janeiro",9
"Correio da Cidadania","","25052002","","8","8","São Paulo",10
"Correio da cidadania","","22032003","","8","8","São Paulo",11
"Correio da Cidadania","","02082003","","8","8","São Paulo",12
"Correio da Cidadania","","03012004","","8","8","São Paulo",13
"Correio da Cidadania","","04012004","","8","8","São Paulo",14
"A reforma urbana está na agenda?","","20122003","","10","10","São Paulo",15
"Correio da cidadania","","21092002","","7","7","São Paulo",16
"Correio da Cidadania","","31082002","","6","6","São Paulo",17
"Correio da Cidadania","","18052002","","9","9","São Paulo",18
"Correio da Cidadania","","10072004","","9","9","São Paulo",19
"Correio da Cidadania","","23052004","","10","10","São Paulo",20
"Correio da Cidadania","","16052004","","10","10","São Paulo",21
"Correio da Cidadania","","30072009","","","","São Paulo",22
"Correio da Cidadania","","01112003","","","","São Paulo",23
