PARTICIPACAO-EM-PROJETO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADES-DE-PARTICIPACAO-EM-PROJETO_Id
0,"4","ANTERIOR","","1999","","2003","006708000001","Faculdade de Arquitetura e Urbanismo","","",0
1,"5","ANTERIOR","","1995","","1996","006708000001","Faculdade de Arquitetura e Urbanismo","","",0
2,"6","ATUAL","","2005","","","000401000990","ETTERN","","",1
3,"1","ATUAL","12","2005","","","","","","",1
4,"11","ANTERIOR","","2013","","2015","007937000008","Instituto de Economia","","",2
5,"3","ANTERIOR","","2005","","2011","007937000008","Instituto de Economia","","",2
6,"7","ANTERIOR","","2010","","2010","152601000993","School of Arquitecture, Planning and Preservation, Columbia University","","",3
7,"8","ANTERIOR","","2010","","2010","153001000001","Graduate School And University Center","","",4
8,"9","ANTERIOR","","2002","","2002","079901000994","UN-Habitat","","",5
9,"10","ANTERIOR","","2012","","2013","066301000991","Diretoria de Estudos e Políticas Regionais, Urbanas e Ambientais do IPEA","","",6
