EDITORA,CIDADE-DA-EDITORA,NUMERO-DE-PAGINAS,ISSN-ISBN,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"Câmara Municipal de São Paulo","São Paulo","","",0
"Caixa Econômica Federal e Câmara Municipal de S. Paulo","São Paulo","","",1
"Netword of Social Justice and Human Rights","Jundiaí","226","",2
"Human Rights in Brazil","Jurdiaí","","",3
"Boitempo","São Paulo","159","16787684",4
"","","","",5
"","","","",6
"Centro Cultural São Paulo","","","",7
"Boitempo","São Paulo","4","",8
"","","","",9
