NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id
"Capa de livro","Revolução invencível","1998","Brasil","Português","IMPRESSO","","NAO","","","","NAO",0
"Capa de livro","Florestan ou O sentido das coisas","1998","Brasil","Português","IMPRESSO","","NAO","","","","NAO",1
"Projeto gráfico de revista (miolo)","Revista Praga","1997","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",2
"Projeto gráfico de capa de livro","Os últimos combates","1997","Brasil","Português","IMPRESSO","","NAO","","","","NAO",3
