APRESENTACAO-DE-TRABALHO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"48",0
1,"51",0
2,"52",0
3,"54",0
4,"55",0
5,"63",0
6,"64",0
7,"65",0
8,"66",0
9,"67",0
10,"71",0
11,"72",0
12,"75",0
13,"76",0
14,"77",0
15,"78",0
16,"79",0
17,"80",0
18,"82",0
19,"83",0
20,"84",0
21,"102",0
22,"103",0
23,"104",0
24,"105",0
25,"106",0
26,"150",0
27,"151",0
28,"152",0
29,"153",0
30,"154",0
31,"155",0
32,"156",0
33,"177",0
34,"195",0
35,"198",0
36,"199",0
37,"200",0
38,"201",0
39,"202",0
40,"203",0
41,"204",0
42,"205",0
43,"206",0
44,"207",0
45,"208",0
46,"209",0
47,"210",0
48,"211",0
49,"212",0
50,"213",0
51,"214",0
52,"215",0
53,"216",0
54,"217",0
55,"218",0
56,"219",0
57,"220",0
58,"221",0
59,"222",0
60,"223",0
61,"224",0
62,"225",0
63,"226",0
64,"227",0
65,"228",0
66,"229",0
67,"246",0
68,"247",0
69,"248",0
70,"249",0
71,"250",0
72,"252",0
73,"253",0
74,"254",0
75,"261",0
76,"262",0
77,"263",0
78,"266",0
79,"267",0
80,"268",0
81,"280",0
82,"281",0
83,"282",0
84,"285",0
85,"288",0
86,"290",0
87,"294",0
88,"295",0
89,"320",0
90,"340",0
91,"341",0
92,"342",0
93,"343",0
94,"349",0
95,"350",0
96,"351",0
97,"364",0
98,"368",0
99,"369",0
100,"370",0
101,"372",0
102,"386",0
103,"391",0
104,"396",0
105,"398",0
106,"400",0
107,"401",0
108,"404",0
109,"411",0
110,"412",0
111,"413",0
112,"414",0
113,"418",0
114,"419",0
115,"420",0
116,"424",0
117,"425",0
118,"427",0
119,"53",0
