NOME-COMPLETO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,NOME-PARA-CITACAO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",0,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",1,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",2,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",3,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",4,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",5,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",6,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",7,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",8,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",9,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",10,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",11,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",12,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",13,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",14,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",,0,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","2947005633726248",,1,,,,
