CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"180",0
1,"184",0
2,"239",0
3,"240",0
4,"286",0
5,"287",0
6,"357",0
7,"238",0
