PARTICIPACAO-EM-CONGRESSO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"141",0
1,"399",0
2,"132",0
3,"99",0
4,"107",0
5,"316",0
6,"296",0
7,"260",0
8,"264",0
9,"140",0
10,"178",0
11,"81",0
12,"269",0
13,"421",0
14,"422",0
