TEXTO-EM-JORNAL-OU-REVISTA_Id,SEQUENCIA-PRODUCAO,TEXTOS-EM-JORNAIS-OU-REVISTAS_Id
0,"1",0
1,"2",0
2,"24",0
3,"25",0
4,"26",0
5,"27",0
6,"28",0
7,"30",0
8,"121",0
9,"143",0
10,"165",0
11,"169",0
12,"170",0
13,"171",0
14,"172",0
15,"173",0
16,"174",0
17,"175",0
18,"176",0
19,"242",0
20,"243",0
21,"244",0
22,"389",0
23,"29",0
