ATUACAO-PROFISSIONAL_Id,CODIGO-INSTITUICAO,NOME-INSTITUICAO,SEQUENCIA-ATIVIDADE,SEQUENCIA-IMPORTANCIA,ATUACOES-PROFISSIONAIS_Id
0,"000100000991","Laboratório de Habitação e Assentamentos Humanos da FAUUSP","1","3",0
1,"985600405539","Faculdades de Campinas","2","5",0
2,"006700000002","Universidade de São Paulo","3","2",0
3,"000300000995","Câmara Municipal de São Paulo","4","6",0
4,"000400000997","Instituto de Pesquisa e Planejamento Urbano e Regional","5","7",0
5,"000700000992","Revista Caramelo","6","",0
6,"000800000994","URBE Planejamento, Programação e Projetos","7","12",0
7,"007900000004","Universidade Estadual de Campinas","8","1",0
8,"152600000000","Columbia University","9","8",0
9,"153000000008","City University of New York","10","4",0
10,"079900000001","United Nations Organization","11","11",0
11,"J4H600000005","École Nationale Supérieure d'Architecture de Grenoble","12","9",0
12,"066300000009","Instituto de Pesquisa Econômica Aplicada - DF","13","10",0
13,"001000000998","EURE (Santiago. Impresa)","14","",0
14,"001100000990","Revista Brasileira de Estudos Urbanos e Regionais (ANPUR)","15","",0
15,"001200000991","Cadernos Metrópole","16","",0
16,"001300000993","Revista Brasileira de Estudos Urbanos e Regionais (ANPUR)","17","",0
17,"001400000995","Revista de Economia Política (Impresso)","18","",0
18,"001500000997","Pós. Revista do Programa de Pós-Graduação em Arquitetura e Urbanismo da FAU","19","",0
19,"037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","20","",0
