SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,ATIVIDADE-REALIZADA,NOME-UNIDADE,OUTRAS-ATIVIDADES-TECNICO-CIENTIFICA_Id
"1","ANTERIOR","9","1999","12","1999","000100000991","Laboratório de Habitação e Assentamentos Humanos da FAUUSP","","Organização do seminário: Encontro com a Planners Network","Laboratório de Habitação e Assentamentos Humanos da FAUUSP",0
"1","ANTERIOR","01","2001","12","2002","000301000999","Gabinete do Vereador Nabil Bonduki","","Assessoria Parlamentar","Gabinete do Vereador Nabil Bonduki",1
