ENSINO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,TIPO-ENSINO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-CURSO,NOME-CURSO-INGLES,ATIVIDADES-DE-ENSINO_Id
0,"1","ANTERIOR","GRADUACAO","02","2005","11","2011","","","90000002","Design","",0
1,"1","ANTERIOR","GRADUACAO","03","2005","07","2005","","","90000001","Faculdade de Arquitetura e Urbanismo","",1
2,"12","ATUAL","GRADUACAO","02","2015","","","","","60096837","Ciências Econômicas","",2
3,"13","ANTERIOR","POS-GRADUACAO","02","2015","07","2015","","","60008342","Desenvolvimento Econômico","Economy",2
4,"14","ANTERIOR","GRADUACAO","08","2014","01","2015","","","60096837","Ciências Econômicas","",2
5,"15","ANTERIOR","POS-GRADUACAO","02","2014","07","2014","","","60008342","Desenvolvimento Econômico","Economy",2
6,"16","ANTERIOR","GRADUACAO","02","2014","07","2014","","","60096837","Ciências Econômicas","",2
7,"17","ANTERIOR","POS-GRADUACAO","06","2013","01","2014","","","60008342","Desenvolvimento Econômico","Economy",2
8,"18","ANTERIOR","GRADUACAO","02","2013","07","2013","","","60096837","Ciências Econômicas","",2
9,"20","ATUAL","GRADUACAO","02","2016","","","","","60096837","Ciências Econômicas","",2
10,"19","ATUAL","POS-GRADUACAO","2","2016","","","","","60008342","Desenvolvimento Econômico","Economy",2
