NATUREZA,TITULO,ANO,PAIS,MEIO-DE-DIVULGACAO,IDIOMA,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-TECNICA_Id
"parecer","Parecer para a Revista Brasileira de Estudos Regionais e Urbanos","2013","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",0
"Participação na montagem, organização, difusão e diagramação de exposição","Arte a instrumentar a arte","1992","Brasil","OUTRO","Português","","NAO","","","","NAO",1
