NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-CONGRESSO_Id
"XIII Congresso Brasileiro de Arquitetos Lúcio Costa","","","","São Paulo","",0
"The trangressive city","","","","Cidade do México","",1
"Lazer em uma sociedade globalizada","","","","São Paulo","",2
"2009 ISA-RC21 - Sao Paulo Conference. Inequality, Inclusion and the Sense of Belonging","","","","São Paulo","",3
"Congresso Comemorativo aos 10 Anos do Estatuto da Cidade","","","","Porto Alegre","",4
"XVI ENANPUR","","","","Belo Horizonte","",5
"XVIII ISA World Congresso of Sociology","","","","Yokohama","",6
"XV Encontro Nacional da ANPUR","","","","Recife","",7
"Beyond Resilience: Actions for a Just Metropolis","","","","Nova York","",8
"América 92: Raízes e Trajetórias","","","","São Paulo","",9
"2 World Planning Schools Congress","","","","Cidade do México","",10
"2009 ISA-RC21 Sao Paulo Conference: Inequality, Inclusion and the Sense of Belonging","","","","São Paulo","",11
"Royal Geographic Society Annual Conference","","","","Londres","",12
"RC21 - Rethinking Urban Glogal Justice","","","","Leeds","",13
"XIV Congresso Internacional da Red Iberoamericana de Investigadores sobre Globalización y Territorio","","","","Monterrey","",14
