SEQUENCIA-ESPECIFICACAO,DISCIPLINA_Text,ENSINO_Id
"1","Fundamentos do Design 3",0
"1","AUP 565 Planejamento Urbano Estratégico",1
"2","AUP 268 Planejamento de Estruturas Urbanas e Rigonais",1
"3","AUP 266 Planejamento de estruturas urbanas",1
"1","CE 205 Economia para ciências sociais",2
"1","HO 032 Políticas e experiências urbanas recentes",3
"1","CE 205 Ciências Sociais para Economia",4
"1","HO 032 Políticas e Experiências Urbanas recentes",5
"1","CE 131 Introdução à Economia para Ciências Sociais",6
"1","HO 032 Políticas e Experiências Urbanas Recentes",7
"1","CE 205 Introdução à Economia para Ciências Sociais",8
"1","CE 205 Economia para ciências sociais",9
"1","HO032 Experiências e Políticas Urbanas Recentes",10
