TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,RELATORIO-DE-PESQUISA_Id
"Operação Urbana Faria Lima","2006","Brasil","Português","IMPRESSO","","NAO","","",0
"Avaliação dos impactos do programa minha casa, minha vida em dinâmicas urbano-regionais diferenciadas os casos de Campinas e São José do Rio Preto na região Sudeste e Recife e Caruaru na região Nordeste do Brasil","2014","Brasil","Português","NAO_INFORMADO","","NAO","","",1
