CODIGO-CURSO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,NIVEL-CURSO,INFORMACOES-ADICIONAIS-CURSOS_Id
"31000657","","","020200000009","Universidade Federal do Rio de Janeiro","CIENCIAS_SOCIAIS_APLICADAS","Planejamento Urbano e Regional","Fundamentos do Planejamento Urbano e Regional","","MESTRADO_DOUTORADO",0
"32000499","","","033300000002","Universidade Federal de Minas Gerais","CIENCIAS_SOCIAIS_APLICADAS","Arquitetura e Urbanismo","","","MESTRADO_DOUTORADO",0
"33020280","","","006700000002","Universidade de São Paulo","CIENCIAS_HUMANAS","Sociologia","","","MESTRADO_DOUTORADO",0
"33020892","","","006700000002","Universidade de São Paulo","CIENCIAS_SOCIAIS_APLICADAS","Direito","","","MESTRADO_DOUTORADO",0
"33020973","","","006700000002","Universidade de São Paulo","CIENCIAS_SOCIAIS_APLICADAS","Arquitetura e Urbanismo","","","MESTRADO_DOUTORADO",0
"33021198","","","006700000002","Universidade de São Paulo","CIENCIAS_SOCIAIS_APLICADAS","Direito","","","MESTRADO_DOUTORADO",0
"33050147","","","006740000003","Escola de Engenharia de São Carlos","CIENCIAS_SOCIAIS_APLICADAS","Arquitetura e Urbanismo","","","MESTRADO_DOUTORADO",0
"33070393","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_HUMANAS","Sociologia","","","DOUTORADO",0
"33080046","","","033021000006","Instituto de Geociências e Ciências Exatas de Rio Claro","CIENCIAS_HUMANAS","Geografia","","","MESTRADO_DOUTORADO",0
"60008342","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_SOCIAIS_APLICADAS","Economia","","","MESTRADO_DOUTORADO",0
"60010576","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_SOCIAIS_APLICADAS","Economia","","","DOUTORADO",0
"60060298","","","IWU400000003","Universidade Federal do ABC","CIENCIAS_SOCIAIS_APLICADAS","Planejamento Urbano e Regional","","","MESTRADO_DOUTORADO",0
"60061200","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_SOCIAIS_APLICADAS","Arquitetura e Urbanismo","","","MESTRADO_DOUTORADO",0
"60061405","","","004400000000","Universidade Federal do Pará","CIENCIAS_SOCIAIS_APLICADAS","Arquitetura e Urbanismo","","","MESTRADO",0
"60096837","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","GRADUACAO",0
"60144157","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","GRADUACAO",0
"60195010","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","GRADUACAO",0
"60235608","","","006700000002","Universidade de São Paulo","OUTROS","","","","GRADUACAO",0
"60480742","","","553101000009","FACULDADE DE CIÊNCIAS ECONÔMICAS","OUTROS","","","","GRADUACAO",0
"90000001","","","006700000002","Universidade de São Paulo","CIENCIAS_SOCIAIS_APLICADAS","Arquitetura e Urbanismo","","","GRADUACAO",0
"90000002","","","985600405539","Faculdades de Campinas","CIENCIAS_SOCIAIS_APLICADAS","Desenho Industrial","","","GRADUACAO",0
"90000003","","","000500000999","Faculdades Campinas","CIENCIAS_SOCIAIS_APLICADAS","Desenho Industrial","","","GRADUACAO",0
"90000004","","","000400000997","Instituto de Pesquisa e Planejamento Urbano e Regional","CIENCIAS_SOCIAIS_APLICADAS","Planejamento Urbano e Regional","","","EXTENSAO_UNIVERSITARIA",0
"90000005","","","000400000997","Instituto de Pesquisa e Planejamento Urbano e Regional","CIENCIAS_SOCIAIS_APLICADAS","Planejamento Urbano e Regional","","","EXTENSAO_UNIVERSITARIA",0
"90000006","","","006400000007","Fundação Escola de Sociologia e Política de São Paulo","CIENCIAS_HUMANAS","Sociologia","","","EXTENSAO_UNIVERSITARIA",0
"90000007","","","000600000990","Casa da Cidade","CIENCIAS_HUMANAS","Sociologia","","","EXTENSAO_UNIVERSITARIA",0
"90000008","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_SOCIAIS_APLICADAS","Economia","","","MESTRADO",0
"90000009","","","150400000000","Virginia Tech","CIENCIAS_SOCIAIS_APLICADAS","Planejamento Urbano e Regional","","","DOUTORADO",0
