EMISSORA,TEMA,DATA-DA-APRESENTACAO,DURACAO-EM-MINUTOS,CIDADE,PROGRAMA-DE-RADIO-OU-TV_Id
"Rádio Eldorado","Lançamento do livro São Paulo Cidade Global","29052007","","São Paulo",0
"Globo News","São Paulo (livros São Paulo Cidade Global e Parceiros da exclusão)","27082007","22","São Paulo",1
"Canal Universitário","Livro São Paulo Cidade Global","08122007","50","São Paulo",2
