NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SIMPOSIO_Id
"50 anos del Centro de Investigaciones de la Faculdad de Arquitetura UNAM","","","","Cidade do México","",0
"Ciência e utopia: por uma geografia do possível","","","","Belo Horizonte","",1
"A luta é contínua","","","","São Paulo","",2
"Space as a cathegory of analisys: new perspectives","","","","Providence","",3
"IV Semana da Geografia da Unicamp","","","","Campinas","",4
"II Debate: 7º Prêmio Jovens Arquitetos","","","","São Paulo","",5
"Confronting Informality","","","","Delft","",6
"Urban Justice and Equity","","","","Cidade do México","",7
"Intolerância ou Respeito? Xenofobia e Segregação: marcas de um processo espacial","","","","São Paulo","",8
