NATUREZA,TIPO,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id
"Dissertação de mestrado","ACADEMICO","As dinâmicas espaciais de valorização do capital imobiliário financeirizado: a confluência entre espaço e mercado","2016","Brasil","Português","","","",0
"Dissertação de mestrado","NAO_INFORMADO","Segregação residencial e luta de classes: mudanças sociais e o reflexo intra-urbano","2014","Brasil","Português","","","",1
