PARTICIPACAO-EM-ENCONTRO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"138",0
1,"60",0
2,"20",0
3,"57",0
4,"8",0
5,"101",0
6,"129",0
7,"10",0
8,"272",0
9,"136",0
10,"117",0
11,"426",0
12,"397",0
13,"119",0
14,"95",0
15,"33",0
16,"9",0
17,"42",0
