NUMERO-DE-VOLUMES,NUMERO-DE-PAGINAS,ISBN,NUMERO-DA-EDICAO-REVISAO,NUMERO-DA-SERIE,CIDADE-DA-EDITORA,NOME-DA-EDITORA,LIVRO-PUBLICADO-OU-ORGANIZADO_Id
"","192","9788575590898","","","São Paulo","Boitempo",0
"1","256","85859346","","","São Paulo","Boitempo",1
