PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"31",0
1,"46",0
2,"47",0
3,"74",0
4,"110",0
5,"118",0
6,"237",0
7,"251",0
8,"257",0
9,"258",0
10,"273",0
11,"297",0
12,"334",0
13,"335",0
14,"366",0
15,"403",0
16,"408",0
17,"409",0
18,"142",0
