PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"259",0
1,"303",0
2,"304",0
3,"315",0
4,"324",0
5,"371",0
6,"377",0
7,"385",0
8,"388",0
9,"402",0
10,"298",0
