OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-BIBLIOGRAFICA_Id
0,"37",0
1,"38",0
2,"144",0
3,"145",0
4,"146",0
5,"193",0
6,"194",0
7,"323",0
8,"327",0
9,"192",0
