FINALIDADE,INSTITUICAO-PROMOTORA,LOCAL,CIDADE,FINALIDADE-INGLES,OUTRA-PRODUCAO-TECNICA_Id
"Parecer de artigo submetido à revista para publicação","ANPUR","","Rio de Janeiro","",0
"","USP","Faculdade de Arquitetura e Urbanismo","São Paulo","",1
