PARTICIPACAO-EM-SIMPOSIO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"423",0
1,"120",0
2,"293",0
3,"43",0
4,"196",0
5,"32",0
6,"374",0
7,"375",0
8,"89",0
