NOME_INSTITUICAO,NATUREZA,PROJETO_NOME
Fluxo Engenharia Ltda,AUXILIO_FINANCEIRO,ESTUDOS PRÉ-OPERACIONAIS DE TRANSITÓRIOS ELETROMAGNÉTICOS PARA A EXPANSÃO DA INTERLIGAÇÃO NORDESTE-SUDESTE
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,Projeto Integrado CNPq no 520061/99-3b- Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Descargas Atmosféricas
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,Edital Universal 2001 no 479486/01-8 a - DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS
Universidade Federal do Rio de Janeiro,REMUNERACAO,COPPETEC - Desenvolvimento de Modelo de Arco Secundário
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Projeto Individual Fapesp proc 2004/09331-0- DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE RELIGAMENTO MONOPOLAR
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Projeto Individual Fapesp (proc 07/08482-3) - Desenvolvimento de Modelos de Arco Secundário para Estudo de Religamento Monopolar
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Projeto individual FAPESP (proc 07/01659-5) Estudos de Transitórios Eletromagnéticos e Desenvolvimento de Modelos de Arco Secundário para Estudo de Religamento Monopolar
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Universal CNPq 2007 proc. . 470926/2007-4 - Consolidação do Grupo de Estudo de Transitórios Eletromagnéticos com Contribuições para a Manobra de Religamento Monopolar e Avaliação de Alternativas para a Expansão do Sistema Elétrico Brasileiro
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"CNPq - Edital Universal Universal 2010 ? Proc. 476341/2010-8 Contribuição Para O Estudo De Transitórios Eletromagnéticos, Desenvolvimento De Metodologias Inovadoras Para Religamento De Linhas De Transmissão E Para A Expansão Do Sistema Elétrico Brasileiro"
Companhia Hidro Elétrica do São Francisco,AUXILIO_FINANCEIRO,P&D Chamada nº 004/2008 de projetos estratégicos da ANEEL ELETRONORTE/CHESF/ENTE/UFBA/UEFS 2008
Empresa Norte de Transmissão de Energia,AUXILIO_FINANCEIRO,P&D Chamada nº 004/2008 de projetos estratégicos da ANEEL ELETRONORTE/CHESF/ENTE/UFBA/UEFS 2008
Centrais Elétricas do Norte do Brasil,AUXILIO_FINANCEIRO,P&D Chamada nº 004/2008 de projetos estratégicos da ANEEL ELETRONORTE/CHESF/ENTE/UFBA/UEFS 2008
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Projeto de Pesquisa Individual FAPESP (Proc. 10/07536-5) ?Contribuição para o Estudo de Transitórios Eletromagnéticos e para a Expansão do Sistema Elétrico Brasileiro?.
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Projeto de Pesquisa Individual FAPESP (Proc. 2009/06168-5) pelo período de 24 meses. Projeto de pesquisa: ?Aquisição do Simulador Digital em tempo real RTDS e contribuições para a manobra de religamento de linhas de transmissão
Companhia Hidro Elétrica do São Francisco,AUXILIO_FINANCEIRO,Ensaio de Transmissão de Energia em Linha de Pouco Mais de Meio Comprimento de Onda
Centrais Elétricas do Norte do Brasil,AUXILIO_FINANCEIRO,Ensaio de Transmissão de Energia em Linha de Pouco Mais de Meio Comprimento de Onda
Empresa Norte de Transmissão de Energia,AUXILIO_FINANCEIRO,Ensaio de Transmissão de Energia em Linha de Pouco Mais de Meio Comprimento de Onda
"Fundação Coordenação de Projetos, Pesquisas e Estudos Tecnológicos",AUXILIO_FINANCEIRO,Desenvolvimento de modelo de arco secundário
Fluxo Engenharia Ltda,AUXILIO_FINANCEIRO,Estudos Pré-Operacionais De Transitórios Eletromagnéticos Para A Expansão Da Interligação Nordeste-Sudeste
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Projeto de Pesquisa Individual FAPESP Proc. 07/01659-5 Estudos de Transitórios Eletromagnéticos e Desenvolvimento de Modelos de Arco Secundário para Estudo de Religamento Monopolar
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,CNPq - Edital Universal Universal 2007 ? Proc. No. 470926/2007-4 Consolidação do Grupo de Estudo de Transitórios Eletromagnéticos com Contribuições para a Manobra de Religamento Monopolar e Avaliação de Alternativas para a Expansão do Sistema Elétrico Bra
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Projeto de Pesquisa Individual FAPESP proc. 07/08482-3 Desenvolvimento de Modelos de Arco Secundário para Estudo de Religamento Monopolar
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,Projeto Universal 2004 proc. 480767/2004-1 - Desenvolvimento de Modelos Para Estudos de Transitórios Eletromagnéticos e Estudo de Religamento Monopolar
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Jovem Pesquisador FAPESP . 1998/14826-6 - Desenvolvimento de Modelos em Programa de Transitórios Eletromagnéticos
Fundação de Amparo à Pesquisa do Estado de São Paulo,BOLSA,Jovem Pesquisador FAPESP . 1998/14826-6 - Desenvolvimento de Modelos em Programa de Transitórios Eletromagnéticos
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,Projeto Integrado CNPq no 520061/99-3 - Estudos de Modelagem de Linha de Transmissão
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,Projeto Integrado CNPq no 520061/99-3a - Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Descargas Atmosféricas
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,Edital Universal 2001 no 479486/01-8 - DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS
