NOME_INSTITUICAO
Centro de Pesquisas de Energia Elétrica
Universidade Federal do Rio de Janeiro
Myra Engenharia Elétrica e Consultoria Ltda
Promon Engenharia Ltda
Ptel Engenharia S A
Themag Engenharia Ltda
Universidade Estadual de Campinas
Universidade de São Carlos Escola de Engenharia de São Carlos
IEEE Transactions on Power Delivery
IEEE Transactions on Power Systems
"IEE Proceedings. Generation, Transmission & Distribution"
SBA. Sociedade Brasileira de Automática
Conselho Nacional de Desenvolvimento Científico e Tecnológico
Fundação de Amparo à Pesquisa do Estado de Minas Gerais
Fundação de Amparo à Pesquisa do Estado de São Paulo
"IEE Proceedings. Generation, Transmission & Distribution (Cessou em 2006. C"
European Transactions on Electrical Power
"IEE Proceedings. Generation, Transmission & Distribution (Cessou em 2006. C"
IEEE Transactions on Smart Grid
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
International Journal of Electrical Power & Energy Systems
Journal of the Korean Institute of Illuminating and Electrical Installation
"IET Science, Measurement & Technology (Online)"
"IET Generation, Transmission & Distribution (Online)"
Electric Power Systems Research (Print)
International Journal of Electrical Power & Energy Systems
