ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-CONCLUIDAS_Id
0,"23",0
1,"24",0
2,"25",0
3,"26",0
4,"27",0
5,"28",0
6,"29",0
7,"32",0
8,"33",0
9,"34",0
10,"36",0
11,"42",0
12,"54",0
13,"56",0
14,"57",0
15,"58",0
16,"59",0
17,"60",0
18,"64",0
19,"65",0
20,"75",0
21,"76",0
22,"85",0
23,"86",0
24,"87",0
25,"93",0
26,"102",0
27,"107",0
28,"109",0
29,"126",0
30,"127",0
31,"128",0
32,"148",0
33,"166",0
34,"170",0
35,"171",0
36,"192",0
37,"204",0
38,"205",0
39,"218",0
40,"220",0
41,"223",0
42,"268",0
43,"270",0
44,"272",0
45,"292",0
46,"336",0
47,"340",0
48,"343",0
49,"345",0
50,"364",0
51,"372",0
52,"55",0
