AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id,ORIENTACAO-EM-ANDAMENTO-DE-POS-DOUTORADO_Id
137,,,,,,,,,,,,4,,,,,
138,,,,,,,,,,,,5,,,,,
139,,,,,,,,,,,,6,,,,,
140,,,,,,,,,,,,7,,,,,
141,,,,,,,,,,,,9,,,,,
142,,,,,,,,,,,,18,,,,,
143,,,,,,,,,,,,19,,,,,
144,,,,,,,,,,,,20,,,,,
145,,,,,,,,,,,,21,,,,,
146,,,,,,,,,,,,22,,,,,
147,,,,,,,,,,,,25,,,,,
148,,,,,,,,,,,,26,,,,,
149,,,,,,,,,,,,27,,,,,
150,,,,,,,,,,,,28,,,,,
151,,,,,,,,,,,,29,,,,,
152,,,,,,,,,,,,30,,,,,
153,,,,,,,,,,,,31,,,,,
154,,,,,,,,,,,,32,,,,,
155,,,,,,,,,,,,33,,,,,
156,,,,,,,,,,,,36,,,,,
157,,,,,,,,,,,,37,,,,,
158,,,,,,,,,,,,39,,,,,
159,,,,,,,,,,,,40,,,,,
160,,,,,,,,,,,,42,,,,,
161,,,,,,,,,,,,43,,,,,
162,,,,,,,,,,,,47,,,,,
163,,,,,,,,,,,,,0,,,,
164,,,,,,,,,,,,,1,,,,
165,,,,,,,,,,,,,2,,,,
166,,,,,,,,,,,,,3,,,,
167,,,,,,,,,,,,,4,,,,
168,,,,,,,,,,,,,5,,,,
169,,,,,,,,,,,,,6,,,,
170,,,,,,,,,,,,,8,,,,
171,,,,,,,,,,,,,9,,,,
172,,,,,,,,,,,,,10,,,,
173,,,,,,,,,,,,,11,,,,
174,,,,,,,,,,,,,15,,,,
175,,,,,,,,,,,,,,1,,,
176,,,,,,,,,,,,,,,8,,
177,,,,,,,,,,,,,,,9,,
178,,,,,,,,,,,,,,,10,,
179,,,,,,,,,,,,,,,11,,
180,,,,,,,,,,,,,,,,0,
181,,,,,,,,,,,,,,,,,0
