PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"181",0
1,"182",0
2,"183",0
3,"184",0
4,"185",0
5,"186",0
6,"187",0
7,"221",0
8,"249",0
9,"250",0
10,"251",0
11,"252",0
12,"256",0
13,"339",0
