TIPO-DE-ORIENTACAO,NOME-DO-ORIENTADO,CODIGO-INSTITUICAO,NOME-DA-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-DO-CURSO,FLAG-BOLSA,CODIGO-AGENCIA-FINANCIADORA,NOME-DA-AGENCIA,NUMERO-DE-PAGINAS,NUMERO-ID-ORIENTADO,NOME-DO-CURSO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id
"ORIENTADOR_PRINCIPAL","Fatima Pires","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","NAO","","","","","Computer Science",0
"ORIENTADOR_PRINCIPAL","Renato Fileto","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","NAO","","","132","6405951782839858","Computer Science",1
"ORIENTADOR_PRINCIPAL","Ricardo da Silva Torres","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","86","3790201696145434","Computer Science",2
"CO_ORIENTADOR","Evandro Baccarin","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","NAO","","","0","","Computer Science",3
"ORIENTADOR_PRINCIPAL","André Santanchè","007900000004","Universidade Estadual de Campinas","","","90000004","Ciência da Computação","SIM","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","120","5121623021406209","",4
"CO_ORIENTADOR","Juliano Schimiguel","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","NAO","","","100","","Computer Science",5
"CO_ORIENTADOR","Karla Albuquerque de Vasconcelos Borges","033300000002","Universidade Federal de Minas Gerais","","","32000049","Ciências da Computação","NAO","","","120","","Computer Science",6
"ORIENTADOR_PRINCIPAL","Carla Geovana do Nascimento Macário","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","NAO","","","","6366851588892304","Computer Science",7
"CO_ORIENTADOR","Luciano Antonio Digiampietri","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","","","Computer Science",8
"ORIENTADOR_PRINCIPAL","Joana Esther Gonzales Malaverri","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","","5567251262991031","Computer Science",9
"CO_ORIENTADOR","Clodoveu Augusto Davis Junior","033300000002","Universidade Federal de Minas Gerais","","","32000049","Ciências da Computação","NAO","","","","","Computer Science",10
"ORIENTADOR_PRINCIPAL","Gilberto Zonta Pastorello Junior","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","","1941848965066045","Computer Science",11
"ORIENTADOR_PRINCIPAL","Bruno Siqueira Campos Mendonça Vilar","007900000004","Universidade Estadual de Campinas","","","60041870","Doutorado em Ciência da Computação - UNICAMP","SIM","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","","9481958972690597","Computer Sciences",12
"ORIENTADOR_PRINCIPAL","Daniel Cintra Cugler","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","","6695618899739556","Computer Science",13
"ORIENTADOR_PRINCIPAL","Ivo Kenji Koga","007900000004","Universidade Estadual de Campinas","","","60041870","Doutorado em Ciência da Computação - UNICAMP","SIM","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","","4125957185152887","Computer Sciences",14
"ORIENTADOR_PRINCIPAL","Rodrigo Dias Arruda Senra","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","NAO","","","","7090242977728088","Computer Science",15
"ORIENTADOR_PRINCIPAL","Jaudete Daltio","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","NAO","","","","7771072815395107","Computer Science",16
"ORIENTADOR_PRINCIPAL","Juliano Lopes de Oliveira","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","SIM","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","","8890030829542444","Computer Science",17
