FINALIDADE,DURACAO-EM-MESES,NUMERO-DE-PAGINAS,DISPONIBILIDADE,INSTITUICAO-FINANCIADORA,CIDADE-DO-TRABALHO,FINALIDADE-INGLES,TRABALHO-TECNICO_Id
"","","","NAO_INFORMADO","","","",0
"Desenvolvimento de tecnicas de geomarketing","12","150","RESTRITA","Fundação CPqD","Campinas","",1
"Relatorio de pesquisa","0","20","IRRESTRITA","CAPES","Blacksburg","",2
"Relatorio Tecnico de pesquisa","12","20","IRRESTRITA","UNICAMP'","Campinas","",3
"Relatorio pesquisa","30","20","IRRESTRITA","FAPESP","Campinas","",4
"Relatorio tecnico cientifico","0","30","IRRESTRITA","","Campinas","",5
"Divulgacao de pesquisa - Relat tecnico IC 12/07","","44","IRRESTRITA","FAPESP e CNPq","Campinas","",6
"Relatorio tecnico IC 17/08","","31","IRRESTRITA","","","",7
"Relatorio tecnico IC 7/07","","18","IRRESTRITA","","","",8
