TRABALHO-TECNICO_Id,SEQUENCIA-PRODUCAO,PRODUCAO-TECNICA_Id
0,"35",0
1,"105",0
2,"124",0
3,"133",0
4,"136",0
5,"156",0
6,"248",0
7,"278",0
8,"279",0
