DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id
"Trabalho associado ao mestrado de Mauricio Augusto Figueiredo","",106,,,,,,,,,,
"Trabalho associado ao doutorado de Carla Macário","",107,,,,,,,,,,
"Associado aos mestrados de Bruno Vilar e Joana Malaverri","",108,,,,,,,,,,
"Trabalho associado ao doutorado de Carla Macario, publicado no ACM SIGSPATIAL newsletter, em 2009","",109,,,,,,,,,,
"Trabalho associado ao doutorado de Rodrigo Senra","",110,,,,,,,,,,
"Relacionado a tese de doutorado de Ricardo Torres","",111,,,,,,,,,,
"Associado a doutorado de Juliano Schimiguel (Co=orientadora)","",112,,,,,,,,,,
"Associado a mestrado de Bruno Vilar","",113,,,,,,,,,,
"trabalho associado à co-orientacao de doutorado de Evandro Baccarin","",114,,,,,,,,,,
"Trabalho associado ao doutorado de carla macario e mestrado de sidney roberto de souza","",115,,,,,,,,,,
"Trabalho associado ao mestrado de Sidney Souza","",116,,,,,,,,,,
"Trabalho associado aos doutorados de Carla Macario.e Jefersson Santos","",117,,,,,,,,,,
"Trabalho associado ao doutorado de R. Senra","",118,,,,,,,,,,
"Trabalho associado ao convenio bi-nacional CNPq - BMF.","",119,,,,,,,,,,
"Associado ao doutorado de Ivo Koga.
Associado ao INCT Web Science.
Associado ao Instituto Virtual FAPESP-Microsoft - eFarms.","",120,,,,,,,,,,
"Trabalho associado ao mestrado de Gabriel Fedel","",121,,,,,,,,,,
"Trabalho associado ao doutorado de Carla Macario e mestrado de Sidney Souza","",122,,,,,,,,,,
"Associado ao doutorado de Joana Malaverri,","",123,,,,,,,,,,
"Associado doutorado C. Carromeu","",124,,,,,,,,,,
"Trabalho associado ao doutorado de Daniel Cugler","",125,,,,,,,,,,
"Trabalho associado ao doutorado de Rodrigo Senra","",126,,,,,,,,,,
"Associado aos mestrados de Matheus Mota e João Sávio Longo e ao doutorado de Daniel Cugler.","",127,,,,,,,,,,
"Trabalho associado ao mestrado de Matheus Mota.","",128,,,,,,,,,,
"Associado ao doutorado de Joana Malaverri,","",129,,,,,,,,,,
"Trabalho associado ao mestrado de J. Savio","",130,,,,,,,,,,
"Trabalho associado ao doutorado de Ivo Koga","",131,,,,,,,,,,
"Associado aos projetos AMIB (Capes-Cofecub), NavScales (Fapesp-Microsoft Research Virtual Institute) e MuZOO (CNpq)","",133,,,,,,,,,,
"Trabalho associado ao doutorado de J.. Malaverri, artigo premiado (3o lugar no GeoINFO)","",134,,,,,,,,,,
"Trabalho associado ao doutorado de Joana Malaverri","",137,,,,,,,,,,
"Trabalho associado ao mestrado e doutorado de Matheus Mota","",138,,,,,,,,,,
"Trabalho associado ao mestrado de J. Longo","",139,,,,,,,,,,
"Trabalho associado ao doutorado de Daniel Cugler","",140,,,,,,,,,,
"Trabalho associado aos doutorados de Joana Malaverri e Daniel Cugler, e mestrado de Renato Sousa","",142,,,,,,,,,,
"Artigo associado a tese de Bruno Vilar.","",143,,,,,,,,,,
"Trabalho parte da tese de doutorado de Jaudete Daltio.","",144,,,,,,,,,,
"Trabalho associado ao mestrado de Lucas Batista","",145,,,,,,,,,,
"Trabalho associado ao mestrado de Jacqueline Midlej","",146,,,,,,,,,,
"Trabalho associado ao mestrado de Jacqueline Midlej Espirito Santo","",147,,,,,,,,,,
"Trabalho associado ao mestrado de Lucas Batista","",148,,,,,,,,,,
"Associado ao trabalho de pos-doutorado de Jordi Creus-Tomas","",149,,,,,,,,,,
"Artigo publicado como parte do doutorado de Jaudete Daltio","",150,,,,,,,,,,
"Trabalho associado ao doutorado de Jaudete Daltio","",151,,,,,,,,,,
"Trabalho associado ao doutorado de Lucas Carvalho","",152,,,,,,,,,,
"Associada ao doutorado de Lucas Carvalho","",153,,,,,,,,,,
"Trabalho parte do mestrado de Marcio Saraiva (short paper)","",154,,,,,,,,,,
"Associado a tese de Lucas Carvalho","",155,,,,,,,,,,
"Springer Verlag Journals","",,2,,,,,,,,,
"Elsevier","",,3,,,,,,,,,
"Kluwer Academic Press","",,4,,,,,,,,,
"North Holland - Elsevier","North Holland - Elsevier",,8,,,,,,,,,
"Aceito para publicacao 2002, Linha de Pesquisa/projeto ASistemas de Informação, Groupware
, Bancos de dados","",,9,,,,,,,,,
"Mes 09
Linha de pesquisa Sistemas de informações geográficas
Vínculo com tese doutorado, concluída em 2003","",,11,,,,,,,,,
"Linha de pesquisa - Sistemas de informacao - sistemas de informacao geografica
Vinculo com mestrado concluido em 2002","",,13,,,,,,,,,
"Ligado a tese de doutorado defendida em 2004
Linha de pesquisa - Sistemas de informacao, bancos de dados","",,14,,,,,,,,,
"Trabalho associado a tres teses de doutorado em andamento: Luciano Digiampietri, Andre Santanche e Gilbertp Pastorello Jr.
Area de pesquisa - Sistemas de Informacao Geograficos
Mes de publicacao - setembro","",,15,,,,,,,,,
"Trabalho ligado a co-orientacao de doutorado em andamento (Juliano Schimiguel)
Linha de pesquisa - Sistemas de informacao, Interacao Humano Computador","",,16,,,,,,,,,
"Artigo convidado, sem processo de selecao.
Linha de pesquisa - Sistemas de Informacao","",,17,,,,,,,,,
"Associado a tese de doutorado defendida em 2006 (André) e a orientacao em andamento (Gilberto); Linha de pesquisa Sistemas de Informacao","",,18,,,,,,,,,
"Trabalho acieto para publicacao, linha de pesquisa Sistemas de Informacao, Bancos de dados, associado a doutorado defendido em 2006","",,19,,,,,,,,,
"Trabalho associado a tese de doutorado de Luciano Digiampietri","",,20,,,,,,,,,
"Trabalho associado ao doutorado de Luciano Digiampietri, estende artigo publicado no III WOB no ano anterior.","",,21,,,,,,,,,
"Trabalho associado ao doutorado de Evandro Bacarin.","",,22,,,,,,,,,
"Trabalho associado ao mestrado de Jaudete Daltio. Publicacao no Science Direct em fev 2008.
Aceito para publicacao","",,24,,,,,,,,,
"Versao estendida - artigo de mesmo nome publicado em Proc. 2nd Braz Workshop Bioinformatics (2003). Associada a doutorado de L. Digiampietri","",,25,,,,,,,,,
"Trabalho associado à tese de doutorado de Carla Macário","",,27,,,,,,,,,
"Trabalho relacionado ao doutorado de Glberto Pastorello Jr e Rodrigo Senra","",,28,,,,,,,,,
"Associado ao doutorado de G. Pastorello e ao mestrado de J. Daltio","",,29,,,,,,,,,
"Trabalho associado ao mestrado de Leonardo Mariote e ao projeto eFarms","",,31,,,,,,,,,
"Associado ao doutorado de Evandro Baccarin.","",,32,,,,,,,,,
"Trabalho parte do doutorado de Ivo Koga","",,33,,,,,,,,,
"Trabalho associado ao doutorado de Karla Borges","",,34,,,,,,,,,
"Trabalho associado ao doutorado de Daniel Cugler","",,37,,,,,,,,,
"Trabalho associado ao doutorado de J. Malaverri","",,38,,,,,,,,,
"Trabalho associado ao doutorado de Rodrigo Senra","",,39,,,,,,,,,
"Trabalho associado ao mestrado de J. S. C. Longo. e projeto financiado por CAPES=COFECUB e FAPESP-Microsoft Research (NAVScales)","",,40,,,,,,,,,
"Invited Editorial (special issue).","",,41,,,,,,,,,
"Associado a tese de doutorado de J. Daltio, versão expandida do artigo publicado no GEOINFO 2015","",,42,,,,,,,,,
"Titulo correto - SiRCub: A Novel Approach to Recognize Agricultural Crops Using Supervised Classification","",,43,,,,,,,,,
"Trabalho ligado a tres dissertacoes de mestrado (Gilberto Zonta, defendida em 2005; Silvana Resende e Henrique Rocha, defendidas em 2003)
A revista ~e publicada pela Springer dentro da serie LNCS
LInha de pesquisa - Sistemas de Informacao, Sistemas de Informacao Geografica","",,44,,,,,,,,,
"Ebook editado pela UNESCO, a partir de 28 capitulos da Encyclopedia of Life Support Systems,
com 30 autores diferentes, dentro do tema "Advanced Geographic Information Systems". Editora do eBook - e do tema contendo os artigos na enciclopedia.","",,,0,,,,,,,,
"CAPÍTULO CONVIDADO - 42 pag","",,,,2,,,,,,,
"Aceito para publicação, impressão em 2005
Linha de Pesquisa - Sistemas de informação, sistemas de informação geográfica
Vinculação com doutorado na UFMG em andamento","",,,,3,,,,,,,
"Anais, VI Escola Regional de Informatica de Sao Paulo, pp 241-256, Sao Carlos","",,,,,0,,,,,,
"Anais, II Workshop sobre Qualidade de Cursos de
Graduacao na area de Computacao e Informatica, Workshop Educacao em Computacao","",,,,,1,,,,,,
"Trabalho associado ao doutorado de Fatima Pires. Periódico regional, editorado na UNICAMP","",,,,,2,,,,,,
"Orelha do livro de autoria de Paulo Feofiloff","",,,,,3,,,,,,
"Relatorio 04-01, Virginia Tech University, mes 03/04
Linha de pesquisa - Sistemas de informacao, bancos de dados, processamento de imagens
Vinculo com doutorado defendido 10/04","",,,,,,2,,,,,
"Trabalho relacionado com tese de doutorado, defendida em 11/03","",,,,,,3,,,,,
"Relatorio 12-04
Linha de pesquisa - Sistemas de Informacao, Sistemas de informacao geografica, processamento de imagens
Vinculo com doutorado terminado em 10/04","",,,,,,4,,,,,
"Trabalho associado a orientacao de doutorado em andamento (Luciano Digiampietri)
Linha de pesquisa - Sistemas de Informacao","",,,,,,5,,,,,
"Trabalho associado ao doutorado de G. Pastorello Jr.","",,,,,,6,,,,,
"Associado tese doutorado Gilberto Pastorello Jr. RT IC-17/98","",,,,,,7,,,,,
"Associado ao doutorado de Evandro Baccarin","",,,,,,8,,,,,
"ebook
Advanced Geographic Information Systems Volume I  ISBN 978-1-905839-91-9
Advanced Geographic Information Systems Volume II  ISBN 978-1-905839-92-6","",,,,,,,0,,,,
"Coordenadora da Comissão de Programa
Anais publicados no LNCS 3633,","",,,,,,,,0,,,
