NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id
"Tese de doutorado","Um Ambiente Computacional Para Modelagem de Aplicações Ambientais","1997","Brasil","Português","","NAO","","",0
"Tese de doutorado","A Abordagem POESIA para a Integração de Dados e Serviços na Web Semântica","2003","Brasil","Português","","NAO","","",1
"Tese de doutorado","Ambiente de Gerenciamento de Imagens e Dados Espaciais para Desenvolvimento de Aplicacões de Biodiversidade
Espaciais","2004","Brasil","Inglês","","NAO","","",2
"Tese de doutorado","Negociação automática de contratos multi-laterais em cadeias produtivas agricolas (co-orientadora)","2009","Brasil","Inglês","","NAO","","",3
"Tese de doutorado","Fluid Web e Componentes de Conteúdo Digital: da visão centrada em documentos para a visão centrada em conteúdo","2006","Brasil","Português","","NAO","","",4
"Tese de doutorado","Um Framework para a Avaliação de Interfaces de Aplicações SIG Web (co-orientacao)","2006","Brasil","Português","","NAO","","",5
"Tese de doutorado","Uso de evidências Geograficas textuais para recuperacao de informacao na Web (co-oirientacao)","2006","Brasil","Português","","NAO","","",6
"Tese de doutorado","Anotação semântica de dados geoespaciais","2009","Brasil","Inglês","","NAO","","",7
"Tese de doutorado","Gerenciamento de Workflows Cientificos em Bioinformatica","2007","Brasil","Português","","NAO","","",8
"Tese de doutorado","Estimating the quality of data in eScience: a provenance-based approach","2013","Brasil","Inglês","","NAO","","",9
"Tese de doutorado","Múltiplas Representações em Sistemas de Informação Geográfica","2000","Brasil","Português","","NAO","","",10
"Tese de doutorado","Gerenciamento do ciclo de vida de dados de sensores: da produção ao consumo","2008","Brasil","Inglês","","NAO","","",11
"Tese de doutorado","Context-driven Workflow Adaptation applied to Healthcare Planning","2014","Brasil","Inglês","","NAO","","",12
"Tese de doutorado","Supporting the Collection and Curation of Biological Observation Metadata","2014","Brasil","Inglês","","NAO","","",13
"Tese de doutorado","An event based approach to process environmental data","2013","Brasil","Inglês","","NAO","","",14
"Tese de doutorado","Organization is Sharing: From eScience to Personal Information Management","2012","Brasil","Inglês","","NAO","","",15
"Tese de doutorado","Views over Graph Databases: A Multifocus Approach for Heterogeneous Data","2017","Brasil","Inglês","","NAO","","",16
"Tese de doutorado","Projeto e Implementação de Interfaces Para Sistemas de Aplicações Geográficas","1997","Brasil","Português","","NAO","","",17
