INSTITUICAO-PROMOTORA,DURACAO-EM-SEMANAS,FLAG-EVENTO-ITINERANTE,FLAG-CATALOGO,LOCAL,CIDADE,ORGANIZACAO-DE-EVENTO_Id
"INPE e SBC","1","S","F","Angra dos Reis","Angra dos Reis",0
"UNICAMP","1","S","","UNICAMP","Campinas",1
"Sociedade Brasileira de Computacao","1","S","","UNICAMP","Campinas",2
"Sociedade Brasileira de Computacao e INPE","1","S","","IME - RJ","Rio de Janeiro",3
"IEEE","1","S","","Hotel Casa Grande","Guaruja",4
"ACM - EUA","1","S","","University of Kansas","Kansas City",5
