ARTIGO-PUBLICADO_Id,SEQUENCIA-PRODUCAO,ORDEM-IMPORTANCIA,ARTIGOS-PUBLICADOS_Id
0,"1","",0
1,"18","",0
2,"37","",0
3,"38","",0
4,"39","",0
5,"43","",0
6,"46","",0
7,"47","",0
8,"67","",0
9,"80","",0
10,"89","",0
11,"90","",0
12,"104","",0
13,"108","",0
14,"130","",0
15,"144","",0
16,"154","",0
17,"155","",0
18,"159","",0
19,"160","",0
20,"224","",0
21,"225","",0
22,"229","",0
23,"230","",0
24,"246","",0
25,"247","",0
26,"255","",0
27,"261","",0
28,"265","",0
29,"284","",0
30,"288","",0
31,"291","",0
32,"303","",0
33,"312","",0
34,"313","",0
35,"318","",0
36,"320","",0
37,"327","",0
38,"349","",0
39,"350","",0
40,"357","",0
41,"366","",0
42,"380","",0
43,"381","",0
44,"125","",0
