NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id
"Dissertação de mestrado","ACADEMICO","Tratamento de Versões Em Bancos de Dados Para Sistemas de Informações Geográficas","1997","Brasil","Português","","NAO","","",0
"Dissertação de mestrado","ACADEMICO","Visões Em Sistemas de Informações Geográficas - Modelo e Mecanismos","1996","Brasil","Português","","NAO","","",1
"Dissertação de mestrado","ACADEMICO","Bancos de Dados Ativos Com Suporte A Restrições Topológicas Em Sistemas de Informação Geográfica","1996","Brasil","Português","","NAO","","",2
"Dissertação de mestrado","ACADEMICO","Incorporação de Facilidades Espaço Temporais Em Um Banco de Dados Orientado A Objetos","1995","Brasil","Português","","NAO","","",3
"Dissertação de mestrado","ACADEMICO","Integração de Bds Heterogêneos Para Aplicações de Planejamento Urbano","1995","Brasil","Português","","NAO","","",4
"Dissertação de mestrado","ACADEMICO","Restrições Dinamicas Em Bancos de Dados Ativos Orientados A Objetos","1994","Brasil","Português","","NAO","","",5
"Dissertação de mestrado","ACADEMICO","Implementação de Um Sistema Temporal Em Um Banco de Dados Orientado A Objetos","1994","Brasil","Português","","NAO","","",6
"Dissertação de mestrado","ACADEMICO","Woodss - Sistema Espacial de Apoio Ao Processo Decisorio Baseado Em Workflows","1998","Brasil","Português","","NAO","","",7
"Dissertação de mestrado","ACADEMICO","Um Banco de Dados Espaco-Temporal Para Desenvolvimento de Aplicacoes Em Sistemas de Informação Geografica","1998","Brasil","Português","","NAO","","",8
"Dissertação de mestrado","ACADEMICO","Uso de Modelos Hipermidia Em Bibliotecas Digitais Para Dados Geograficos","1997","Brasil","Português","","NAO","","",9
"Dissertação de mestrado","ACADEMICO","Uma Metodologia Para Integracao de Sistemas Legados e Bds Heterogeneos","1998","Brasil","Português","","NAO","","",10
"Dissertação de mestrado","ACADEMICO","Incorporacao da Dimensao Temporal A Bancos de Dados Orientados A Objetos","1993","Brasil","Português","","NAO","","",11
"Dissertação de mestrado","ACADEMICO","Manutencao de Restricoes de Integridade Em Bancos de Dados Orientados A Objeto","1992","Brasil","Português","","NAO","","",12
"Dissertação de mestrado","ACADEMICO","Visoes Estendidas - Uma Proposta Para Extensao de Bancos de Dados Relacionais","1989","Brasil","Português","","NAO","","",13
"Dissertação de mestrado","ACADEMICO","Ana-Re - Um Metodo Para Analise e Especificacao de Requisitos","1989","Brasil","Português","","NAO","","",14
"Dissertação de mestrado","ACADEMICO","Um Sistema Para Manuseio de Objetos Entidade-Relacionamento Nomodelo Relacional","1989","Brasil","Português","","NAO","","",15
"Dissertação de mestrado","ACADEMICO","Um Sistema de Pre-Processamento de Atualizacoes Em Bancos de Dados Relacionais","1989","Brasil","Português","","NAO","","",16
"Dissertação de mestrado","ACADEMICO","Manipulacao de Bancos de Dados Atraves de Formularios","1988","Brasil","Português","","NAO","","",17
"Dissertação de mestrado","ACADEMICO","Projeto e implementacao de um banco de metadados para o sistema de informacao de biodiversidade do Estado de Sao Paulo","1999","Brasil","Português","","NAO","","",18
"Dissertação de mestrado","ACADEMICO","Qualidade de dados em aplicacoes geograficas","2000","Brasil","Português","","NAO","","",19
"Dissertação de mestrado","ACADEMICO","Processamento de Consultas ao Banco de Dados de Biodiversidad
e do BIOTA","2000","Brasil","Português","","NAO","","",20
"Dissertação de mestrado","ACADEMICO","Combinando Bancos de Dados e Raciocinio Baseado em Casos","2001","Brasil","Português","","NAO","","",21
"Dissertação de mestrado","ACADEMICO","Controle de acesso em bancos de dados geográficos","2002","Brasil","Português","","NAO","","",22
"Dissertação de mestrado","ACADEMICO","Documentacao de atividades de planejamento ambiental centrada em bancos de dados","2003","Brasil","Português","","NAO","","",23
"Dissertação de mestrado","ACADEMICO","Metadados para workflows cientificos no apoio ao planejamento ambiental","2003","Brasil","Português","","NAO","","",24
"Dissertação de mestrado","ACADEMICO","Gerenciamento de dados climatológicos heterogêneos para aplicações em agricultura","2003","Brasil","Português","","NAO","","",25
"Dissertação de mestrado","NAO_INFORMADO","Uso e aplicação de modelos econômicos em sistemas de informação para geomarketing","2003","Brasil","Português","","NAO","","",26
"Dissertação de mestrado","NAO_INFORMADO","Especificação de um Sistema Eletronico de Compras para Empresas Públicas","2004","Brasil","Português","","NAO","","",27
"Dissertação de mestrado","ACADEMICO","Um modelo de dados para objetos móveis","2004","Brasil","Português","","NAO","","",28
"Dissertação de mestrado","ACADEMICO","Geomarketing: Modelos e Sistemas, com Aplicacões em Telefonia","2005","Brasil","Português","","NAO","","",29
"Dissertação de mestrado","NAO_INFORMADO","Mecanismos para agilizar processos de comercio exterior","2005","Brasil","Português","","NAO","","",30
"Dissertação de mestrado","ACADEMICO","Publicação e integração de workflows científicos na Web","2005","Brasil","Português","","NAO","","",31
"Dissertação de mestrado","NAO_INFORMADO","Integração de dados corporativos: uma proposta de arquitetura baseada em serviços de dados","2005","Brasil","Português","","NAO","","",32
