NATUREZA,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Tese de doutorado","Interoperabilidade em eHealth","2015","Brasil","Bretão","","","",0
"Tese de doutorado","CIMAL : Courseware Integration under Multiple versions to Assist Learning","2015","Brasil","Inglês","","","",1
"Tese de doutorado","Managing provenance and reliability in eScience experiments","2014","Brasil","Português","","","",2
"Tese de doutorado","Processamento semantico de series temporais","2015","Brasil","Português","","","",3
