TIPO,NATUREZA,TITULO-DO-LIVRO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-LIVRO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,LIVRO-PUBLICADO-OU-ORGANIZADO_Id
"LIVRO_ORGANIZADO_OU_EDICAO","LIVRO","Advanced Geographic Information Systems - eBook","2008","Grã-Bretanha","Inglês","IMPRESSO","","NAO","","","NAO",0
"LIVRO_PUBLICADO","NAO_INFORMADO","Anatomia de Sistemas de Informação Geográfica","1996","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",1
