ATUACAO-PROFISSIONAL_Id,CODIGO-INSTITUICAO,NOME-INSTITUICAO,SEQUENCIA-ATIVIDADE,SEQUENCIA-IMPORTANCIA,ATUACOES-PROFISSIONAIS_Id
0,"134100000003","University of Waterloo","2","",0
1,"011100000008","Pontifícia Universidade Católica do Rio de Janeiro","3","",0
2,"024300000003","Centrais Elétricas - Sede","4","",0
3,"007900000004","Universidade Estadual de Campinas","5","",0
4,"000200000993","Sociedade Brasileira de Computacao","6","",0
5,"000400000997","Geoinformatica (Dordrecht)","7","",0
6,"000500000999","The VLDB Journal","8","",0
7,"000600000990","IP. Informática Pública","9","",0
8,"000700000992","International Journal of Web Systems Research","10","",0
9,"000800000994","Journal of the Brazilian Computer Society","11","",0
10,"166400000007","Université Paris-Dauphine - Paris IX","12","",0
11,"139600000003","University of Münster","13","",0
12,"000900000996","intelligent decision technologies: an International Journal","14","",0
13,"006700000002","Universidade de São Paulo","15","",0
14,"001300000993","(CNPq) Conselho Nacional de Desenvolvimento Científico e Tecnológico","16","",0
15,"001400000995","(FAPESP) Fundação de Amparo à Pesquisa do Estado de São Paulo","17","",0
16,"001500000997","(CNPq) Conselho Nacional de Desenvolvimento Científico e Tecnológico","18","",0
