NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Doutorado","Cartographie decisionelle multicritère: formalisation et implementation informatique","2006","França","Francês","","","",0
"Doutorado","Ontology-driven Geographic Information Systems","2001","Estados Unidos","Inglês","","","",1
"Doutorado","Métodos de Acceso y Procesamiento de Consultas Espacio-temporales","2007","Chile","Espanhol","","","",2
"Doutorado","Spatial Data Management in an Integrated Software Engineering Environment","1999","Nova Zelândia","Inglês","","","",3
"Doutorado","Issues in the Management of Moving Point Objects","2000","Dinamarca","Inglês","","","",4
"Doutorado","Modelisation et Manipulation de Phenomènes Continus Spatio-temporels","2001","França","Francês","","","",5
"Doutorado","Un Modèle d'Approximation pour la Réprésentation du Mouvement dans les Bases de Donnees Spatiales","2001","França","Francês","","","",6
"Doutorado","Reduction de Series Chronologiques de Trafic Routier Urbain Issues dun Réseau de Capteurs géoreferencés et extraction de séries spatio-temporelles","2008","França","Francês","","","",7
"Doutorado","Optimisation de la localité spatiale des données temporelles et multiversions","2008","França","Francês","","","",8
"Doutorado","Bases de Donnees Geographiques - Modelisation et Indexation","1996","França","Inglês","","","",9
"Doutorado","Approche des Versions de Bases de Données: Représentation et Interrogation des Versions","1997","França","Francês","","","",10
"Doutorado","Modelisation, Exploitation et Visualisation de l'information Qualité dans les Bases de Données Géographiques","1996","França","Francês","","","",11
"Doutorado","Construction d un Systeme de Gestion de Bases de Donnees d Images. Etudes d une approche orientee objets et d un langage logique d interrogations spatiales","1994","França","Francês","","","",12
"Doutorado","Infrastructure and Algorithms for Information Quality Analysis and Process Discovery","2013","França","Inglês","","","",13
