NATUREZA,TITULO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"Artigo convidado","Bancos de Dados Espaco-temporais - Fundamentos e Aplicacoes","2001","Brasil","Inglês","IMPRESSO","","NAO","","","","NAO",0
"Artigo convidado","Uma Proposta de Plano Pedagogico para a Materia de Bancos
 de Dados","2000","Brasil","Português","IMPRESSO","","NAO","","","","NAO",1
"Artigo convidado","Um Ambiente Computacional de Modelagem de Aplicacoes Geograficas","1995","Brasil","Português","MEIO_DIGITAL","","NAO","","","","NAO",2
"Orelha de livro","Projeto de Algoritmos (autor Paulo Feofiloff)","2008","Brasil","Português","IMPRESSO","","NAO","","","","NAO",3
