IDIOMA,DESCRICAO-DO-IDIOMA,PROFICIENCIA-DE-LEITURA,PROFICIENCIA-DE-FALA,PROFICIENCIA-DE-ESCRITA,PROFICIENCIA-DE-COMPREENSAO,IDIOMAS_Id
"DE","Alemão","RAZOAVELMENTE","POUCO","POUCO","NAO_INFORMADO",0
"EN","Inglês","BEM","BEM","BEM","NAO_INFORMADO",0
"ES","Espanhol","BEM","BEM","BEM","NAO_INFORMADO",0
"FR","Francês","BEM","BEM","BEM","NAO_INFORMADO",0
"IT","Italiano","BEM","RAZOAVELMENTE","POUCO","NAO_INFORMADO",0
