SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADE-DE-EXTENSAO-REALIZADA,ATIVIDADES-DE-EXTENSAO-UNIVERSITARIA_Id
"1","ANTERIOR","1","1981","10","1985","134101000996","Department Of Computer Science","","","MONITORIA E ENSINO DE DISCIPLINAS DE GRADUACAO EM COMPOSICAO",0
"1","ANTERIOR","3","1980","12","1980","011101000990","Departamento de Informática","","","A.E.P. EM DISCIPLINAS DA POS-GRADUACAO EM INFORMATICA",1
"4","ATUAL","3","1986","","","007901000997","Instituto de Computação","","","Cursos de extensão vários",2
