TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id
"Geoinformatica (Dordrecht)","13846175","1","1","","29","58","Estados Unidos",0
"Communications of the ACM","00010782","41","4","","80","82","EUA",1
"International Journal on Digital Libraries","14325012","II","2-3","","190","206","Estados Unidos",2
"Decision Support Systems","01679236","XXVII","2","","105","123","",3
"Multimedia Tools and Applications","13807501","8","","","1","18","",4
"Journal of Systems and Software","01641212","27","DEZEMBRO","","171","181","",5
"Algorithmica","01784617","I","","","337","360","",6
"Revista de Informática Teórica e Aplicada","01034308","I","4","4","5","22","Porto Alegre",7
"Data & Knowledge Engineering","0169023X","33","","","277","306","Amsterdam",8
"International Journal of Cooperative Information Systems","02188430","12","1","","1","37","",9
"SIGMOD Record","01635808","32","1","","107","115","Estados Unidos",10
"The VLDB Journal","10668888","12","4","","352","367","Heidelberg, Springer",11
"Geoinformatica (Dordrecht)","13846175","8","2","","173","204","Kluwer Academic",12
"Environmental Modelling & Software","13648152","20","","","689","704","Holanda, Elsevier",13
"International Journal on Digital Libraries","14325012","6","1","","3","17","Heidelberg, Springer",14
"SIGMOD Record","01635808","34","3","","18","23","New York",15
"IP. Informática Pública","1516697X","8","1","","7","22","Belo Horizonte",16
"IEEE Geoscience and Remote Sensing Society Newsletter","02746638","135","","","11","16","Piscataway, NJ",17
"Multimedia Systems","09424962","12","","","403","421","Berlin",18
"IEEE Transactions on Knowledge and Data Engineering","10414347","19","2","2","324","341","Estados Unidos",19
"International Journal of Bioinformatics Research and Applications (Print)","17445485","3","","3","268","285","",20
"Genetics and Molecular Research","16765680","4","","3","535","542","",21
"International Journal of Electronic Commerce","10864415","12","","4","71","97","",22
"Computer (Long Beach)","00189162","41","","6","79","85","",23
"Information Systems (Oxford)","03064379","33","","7-8","724","753","",24
"Revista Tecnologia da Informação","15169197","3","","2","35","40","",25
"Geoinformatica (Dordrecht)","13846175","5","","3","215","220","",26
"International Journal of Metadata, Semantics and Ontologies (Print)","17442621","4","","1/2","118","132","",27
"Journal of the Brazilian Computer Society (Impresso)","01046500","15","","1","13","26","",28
"Journal of Multimedia","17962048","5","","4","332","342","",29
"Geoinformatica (Dordrecht)","13846175","14","","","279","305","",30
"Geoinformatica (Dordrecht)","13846175","15","","","75","109","",31
"International Journal of Cooperative Information Systems","02188430","20","","","221","259","",32
"Journal of Computational Interdisciplinary Sciences","19838409","2","","1","13","22","",33
"Geoinformatica (Dordrecht)","13846175","15","","","609","631","",34
"Revista USP","01039989","marco","","","134","148","",35
"Journal of Information and Data Management - JIDM","21787107","2","","1","93","108","",36
"Concurrency and Computation","15320626","","","","n/a","n/a","",37
"International Journal of Metadata, Semantics and Ontologies (Print)","17442621","9","","1","15","28","",38
"Journal on Data Semantics (Print)","18612032","3","","4","225","236","",39
"Journal of Information and Data Management - JIDM","21787107","5","","2","146","160","",40
"Future Generation Computer Systems","0167739X","56","","","523","525","",41
"RBC. REVISTA BRASILEIRA DE CARTOGRAFIA (ONLINE)","18080936","68","","","1181","1189","",42
"INTERNATIONAL JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL INFORMATION SYSTEMS","19473192","8","","4","20","36","",43
"Journal on Data Semantics","18612032","3","","LNCS","100","124","Heidelberg, Springer Verlag",44
