NATUREZA,TIPO,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id
"Dissertação de mestrado","ACADEMICO","Interoperabilidade de dados em sistemas de biodiversidade","2015","Brasil","Português","","","",0
"Dissertação de mestrado","ACADEMICO","Indexacao semantica de workflows cientificos","2016","Brasil","Português","","","",1
