EDITORA,CIDADE-DA-EDITORA,NUMERO-DE-PAGINAS,ISSN-ISBN,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"","Sao Carlos","15","",0
"SBC","","15","",1
"Cadernos de Informática Georreferenciada","Campinas","10","",2
"Campus","","","",3
