TRABALHO-EM-EVENTOS_Id,SEQUENCIA-PRODUCAO,TRABALHOS-EM-EVENTOS_Id
0,"4",0
1,"5",0
2,"6",0
3,"7",0
4,"8",0
5,"9",0
6,"10",0
7,"11",0
8,"12",0
9,"14",0
10,"15",0
11,"16",0
12,"17",0
13,"19",0
14,"20",0
15,"21",0
16,"22",0
17,"40",0
18,"41",0
19,"48",0
20,"49",0
21,"50",0
22,"51",0
23,"52",0
24,"53",0
25,"61",0
26,"62",0
27,"63",0
28,"68",0
29,"69",0
30,"70",0
31,"71",0
32,"72",0
33,"73",0
34,"74",0
35,"79",0
36,"83",0
37,"84",0
38,"88",0
39,"91",0
40,"92",0
41,"94",0
42,"95",0
43,"96",0
44,"97",0
45,"111",0
46,"112",0
47,"113",0
48,"114",0
49,"115",0
50,"117",0
51,"120",0
52,"123",0
53,"131",0
54,"132",0
55,"145",0
56,"147",0
57,"151",0
58,"153",0
59,"157",0
60,"161",0
61,"164",0
62,"169",0
63,"172",0
64,"179",0
65,"180",0
66,"193",0
67,"194",0
68,"195",0
69,"196",0
70,"197",0
71,"199",0
72,"200",0
73,"201",0
74,"202",0
75,"203",0
76,"208",0
77,"209",0
78,"210",0
79,"211",0
80,"212",0
81,"213",0
82,"214",0
83,"215",0
84,"216",0
85,"219",0
86,"226",0
87,"227",0
88,"228",0
89,"231",0
90,"232",0
91,"233",0
92,"234",0
93,"235",0
94,"236",0
95,"237",0
96,"238",0
97,"239",0
98,"240",0
99,"241",0
100,"242",0
101,"243",0
102,"244",0
103,"245",0
104,"258",0
105,"259",0
106,"263",0
107,"264",0
108,"266",0
109,"269",0
110,"273",0
111,"274",0
112,"275",0
113,"276",0
114,"281",0
115,"282",0
116,"283",0
117,"286",0
118,"287",0
119,"289",0
120,"290",0
121,"294",0
122,"299",0
123,"304",0
124,"306",0
125,"314",0
126,"315",0
127,"323",0
128,"324",0
129,"326",0
130,"328",0
131,"329",0
132,"330",0
133,"331",0
134,"333",0
135,"334",0
136,"338",0
137,"341",0
138,"342",0
139,"344",0
140,"347",0
141,"348",0
142,"351",0
143,"352",0
144,"353",0
145,"354",0
146,"355",0
147,"358",0
148,"359",0
149,"361",0
150,"365",0
151,"368",0
152,"369",0
153,"374",0
154,"375",0
155,"376",0
156,"81",0
