PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-POS-DOUTORADO_Id
"Semiotica","Interfaces","","","","",,,,54,,,,,,,,,,,,,,,
"Web semantica","Web Services","Ontologias","","","",,,,55,,,,,,,,,,,,,,,
"Interface quality - web GIS","","","","","",,,,56,,,,,,,,,,,,,,,
"Interface quality - web GIS","GIS","","","","",,,,57,,,,,,,,,,,,,,,
"data warehouse","sensor network","","","","",,,,58,,,,,,,,,,,,,,,
"GIS","Access control","Database systems","","","",,,,59,,,,,,,,,,,,,,,
"Ontologias","Biodiversity","Biodiversity Information Systems","","","",,,,60,,,,,,,,,,,,,,,
"Bancos de dados genomicos","Servicos WEB","Workflows Cientificos","","","",,,,61,,,,,,,,,,,,,,,
"Time series","","","","","",,,,64,,,,,,,,,,,,,,,
"Bancos de dados geograficos","Mineração de dados Web","","","","",,,,65,,,,,,,,,,,,,,,
"Biodiversity Information Systems","Scientific databases","Web semantica","Web Services","","",,,,66,,,,,,,,,,,,,,,
"Workflows","Supply chains","e-Contracts","Petri Nets","","",,,,67,,,,,,,,,,,,,,,
"Scientific workflows","sensor network","","","","",,,,68,,,,,,,,,,,,,,,
"Scientific databases","Sistemas de informacao, bioinformatica","Web Services","","","",,,,69,,,,,,,,,,,,,,,
"Scientific workflows","Bioinformatica","","","","",,,,70,,,,,,,,,,,,,,,
"GIS","Versoes, Sistemas Geograficos","","","","",,,,71,,,,,,,,,,,,,,,
"Banco de Dados, Sistema Temporal","","","","","",,,,72,,,,,,,,,,,,,,,
"GIS","Bancos de dados geograficos","","","","",,,,73,,,,,,,,,,,,,,,
"Versoes, Bancos de Dados","","","","","",,,,74,,,,,,,,,,,,,,,
"SIG","","","","","",,,,75,,,,,,,,,,,,,,,
"Sistemas de informacao, agricultura","","","","","",,,,76,,,,,,,,,,,,,,,
"Restricoes de Integridade, Bancos de Dados","Bancos de Dados Ativos","","","","",,,,77,,,,,,,,,,,,,,,
"Bancos de Dados Orientados A Objetos","Restricoes de Integridade, Bancos de Dados","","","","",,,,78,,,,,,,,,,,,,,,
"Visoes Em Bancos de Dados","Interfaces e visualizaão","","","","",,,,79,,,,,,,,,,,,,,,
"Restricoes de Integridade, Bancos de Dados","","","","","",,,,80,,,,,,,,,,,,,,,
"Bancos de dados de imagens","","","","","",,,,81,,,,,,,,,,,,,,,
"Bancos de Dados Heterogeneos","Ontologias","Sistema de informacao, biodiversidade","","","",,,,82,,,,,,,,,,,,,,,
"Workflows Cientificos","","","","","",,,,83,,,,,,,,,,,,,,,
"Web Services","","","","","",,,,84,,,,,,,,,,,,,,,
"sensor network","Servicos WEB","","","","",,,,85,,,,,,,,,,,,,,,
"Sensores","Time series","","","","",,,,86,,,,,,,,,,,,,,,
"Bancos de Dados Orientados A Objetos","Visoes Em Bancos de Dados","","","","",,,,87,,,,,,,,,,,,,,,
"Women in Information Technology","","","","","",,,,88,,,,,,,,,,,,,,,
"sensor network","","","","","",,,,89,,,,,,,,,,,,,,,
"Bancos de Dados Relacionais","Restricoes de Integridade, Bancos de Dados","","","","",,,,90,,,,,,,,,,,,,,,
"Visoes Em Bancos de Dados","","","","","",,,,91,,,,,,,,,,,,,,,
"Analise de Requisitos","","","","","",,,,92,,,,,,,,,,,,,,,
"Analise de Requisitos","","","","","",,,,93,,,,,,,,,,,,,,,
"Bancos de Dados, Interfaces","Modelagem de dados","","","","",,,,94,,,,,,,,,,,,,,,
"Visoes Em Bancos de Dados","","","","","",,,,95,,,,,,,,,,,,,,,
"Bancos de Dados, Interfaces","","","","","",,,,96,,,,,,,,,,,,,,,
"Visoes Em Bancos de Dados","Bancos de Dados","","","","",,,,97,,,,,,,,,,,,,,,
"Analise de Requisitos","","","","","",,,,98,,,,,,,,,,,,,,,
"Modelagem de dados","","","","","",,,,99,,,,,,,,,,,,,,,
"Visoes Em Bancos de Dados","","","","","",,,,100,,,,,,,,,,,,,,,
"Bancos de Dados, Restricoes","","","","","",,,,101,,,,,,,,,,,,,,,
"Visoes Em Bancos de Dados","","","","","",,,,102,,,,,,,,,,,,,,,
"Sistemas de informacao, agricultura","","","","","",,,,103,,,,,,,,,,,,,,,
"sensor network","Sistemas de informação geográfica","","","","",,,,104,,,,,,,,,,,,,,,
"Annotations","Scientific workflows","","","","",,,,105,,,,,,,,,,,,,,,
"sensor network","Cadeias Produtivas","","","","",,,,106,,,,,,,,,,,,,,,
"Semantic annotations","Web semantica","","","","",,,,107,,,,,,,,,,,,,,,
"Biodiversity Information Systems","Ontologias","","","","",,,,108,,,,,,,,,,,,,,,
"Annotations","Planning in agriculture","","","","",,,,109,,,,,,,,,,,,,,,
"eScience","","","","","",,,,110,,,,,,,,,,,,,,,
"Bancos de dados de imagens","Sistema de informacao, biodiversidade","","","","",,,,111,,,,,,,,,,,,,,,
"Interação humano-computador","","","","","",,,,112,,,,,,,,,,,,,,,
"Sistema de informacao, biodiversidade","","","","","",,,,113,,,,,,,,,,,,,,,
"Workflows","e-Contracts","","","","",,,,114,,,,,,,,,,,,,,,
"Annotations","","","","","",,,,115,,,,,,,,,,,,,,,
"Annotations","Planning in agriculture","","","","",,,,116,,,,,,,,,,,,,,,
"Annotations","Geospatial data processing","","","","",,,,117,,,,,,,,,,,,,,,
"Standards for interoperability","eScience","","","","",,,,118,,,,,,,,,,,,,,,
"Computer Science Education","","","","","",,,,119,,,,,,,,,,,,,,,
"sensor network","Web Services","eScience","Web Science","","",,,,120,,,,,,,,,,,,,,,
"Ontologias","bancos de dados cientificos","","","","",,,,121,,,,,,,,,,,,,,,
"Semantic annotations","Scientific workflows","","","","",,,,122,,,,,,,,,,,,,,,
"Environmental decision support","","","","","",,,,124,,,,,,,,,,,,,,,
"eScience","Animal sounds","","","","",,,,125,,,,,,,,,,,,,,,
"eScience","","","","","",,,,126,,,,,,,,,,,,,,,
"Biodiversity Information Systems","Semantic annotations","","","","",,,,127,,,,,,,,,,,,,,,
"Document descriptors","Semantic annotations","","","","",,,,128,,,,,,,,,,,,,,,
"Provenance management","","","","","",,,,129,,,,,,,,,,,,,,,
"Versoes, Bancos de Dados","Multiscale processing","","","","",,,,130,,,,,,,,,,,,,,,
"eScience","Integração de dados heterogêneos","","","","",,,,131,,,,,,,,,,,,,,,
"Biodiversity Information Systems","eScience","jmultimodal query processing","","","",,,,132,,,,,,,,,,,,,,,
"Versions in databases","Multiscale processing","","","","",,,,133,,,,,,,,,,,,,,,
"Quality in Scientific Data","Scientific databases","","","","",,,,134,,,,,,,,,,,,,,,
"Geospatial data processing","Spatial integrity constraints","","","","",,,,135,,,,,,,,,,,,,,,
"Scientific workflows","Health Information Systems","","","","",,,,136,,,,,,,,,,,,,,,
"eScience","Data provenance","","","","",,,,137,,,,,,,,,,,,,,,
"Document descriptors","","","","","",,,,138,,,,,,,,,,,,,,,
"Multiscale processing","Geographic Information Retrieval","","","","",,,,139,,,,,,,,,,,,,,,
"Biodiversity Information Systems","","","","","",,,,140,,,,,,,,,,,,,,,
"Digital Humanities","","","","","",,,,141,,,,,,,,,,,,,,,
"Data preservation","data quality","Provenance","","","",,,,142,,,,,,,,,,,,,,,
"Scientific workflows","Health Information Systems","","","","",,,,143,,,,,,,,,,,,,,,
"Multiscale processing","Database views","","","","",,,,144,,,,,,,,,,,,,,,
"Semantic annotations","Time series","","","","",,,,145,,,,,,,,,,,,,,,
"Multiscale processing","Biodiversity Information Systems","","","","",,,,146,,,,,,,,,,,,,,,
"sensor network","Multiscale processing","","","","",,,,147,,,,,,,,,,,,,,,
"Semantic annotations","","","","","",,,,148,,,,,,,,,,,,,,,
"Planning in agriculture","Time series","","","","",,,,149,,,,,,,,,,,,,,,
"Graph Databases","Geospatial data processing","Multiscale processing","","","",,,,150,,,,,,,,,,,,,,,
"Graph Databases","","","","","",,,,151,,,,,,,,,,,,,,,
"Scientific workflows","","","","","",,,,152,,,,,,,,,,,,,,,
"Scientific workflows","Reproducibility","","","","",,,,153,,,,,,,,,,,,,,,
"Courseware semantics linkage","Content annotation","","","","",,,,154,,,,,,,,,,,,,,,
"Data provenance","","","","","",,,,155,,,,,,,,,,,,,,,
"Interfaces","Semiotica","Sistemas Geograficos, Interfaces","","","",,,,156,,,,,,,,,,,,,,,
"Sistemas Geograficos, Ambiente de Modelagem","","","","","",,,,,0,,,,,,,,,,,,,,
"Bibliotecas Digitais","","","","","",,,,,1,,,,,,,,,,,,,,
"Bancos de Dados","Bibliotecas Digitais","Interfaces","Sistemas Geograficos","","",,,,,2,,,,,,,,,,,,,,
"Apoio A Decisa","Bancos de Dados","Sistemas Geograficos","Workflows Cientificos","","",,,,,3,,,,,,,,,,,,,,
"Bancos de Dados Orientados A Objetos","Bibliotecas Digitais","Sistemas Geograficos","Sistemas Hipermidia","","",,,,,4,,,,,,,,,,,,,,
"Bancos de Dados Ativos","Restricoes de Integridade","","","","",,,,,5,,,,,,,,,,,,,,
"Bancos de Dados","Visoes","","","","",,,,,6,,,,,,,,,,,,,,
"Bancos de Dados","","","","","",,,,,7,,,,,,,,,,,,,,
"Visoes","Versoes","Bancos de Dados","","","",,,,,8,,,,,,,,,,,,,,
"Sistemas de Workflow","Workflows","","","","",,,,,9,,,,,,,,,,,,,,
"Bancos de dados geograficos","Bancos de Dados, Sistemas Geograficos","","","","",,,,,10,,,,,,,,,,,,,,
"Ontologias","Web Services","","","","",,,,,11,,,,,,,,,,,,,,
"Bancos de dados geograficos","Sistemas de Aplicacoes Geograficas","Gerenciamento de documentacao","","","",,,,,12,,,,,,,,,,,,,,
"Environmental decision support","Case-based reasoning","Scientific workflows","GIS","","",,,,,13,,,,,,,,,,,,,,
"Digital Libraries","Biodiversity Information Systems","Content-based image retrieval","OAI","","",,,,,14,,,,,,,,,,,,,,
"Workflows Cientificos","Web semantica","","","","",,,,,15,,,,,,,,,,,,,,
"Usabilidade","Interface quality - web GIS","Interação humano-computador","","","",,,,,16,,,,,,,,,,,,,,
"GIS","Remote Sensing","","","","",,,,,17,,,,,,,,,,,,,,
"Digital Content Components","","","","","",,,,,18,,,,,,,,,,,,,,
"Digital content component","Fluid Web","","","","",,,,,19,,,,,,,,,,,,,,
"Scientific workflows","Sistemas de informacao, bioinformatica","","","","",,,,,20,,,,,,,,,,,,,,
"Scientific workflows","Sistemas de informacao, bioinformatica","","","","",,,,,21,,,,,,,,,,,,,,
"e-Contracts","Supply chains","","","","",,,,,22,,,,,,,,,,,,,,
"Computer Science Research Challenges","","","","","",,,,,23,,,,,,,,,,,,,,
