PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-POS-DOUTORADO_Id
"Bancos de Dados","Sistemas Temporais","","","","",,,,,,,,,,,,11,,,,,,,
"Bancos de Dados","Restricoes de Integridade","","","","",,,,,,,,,,,,12,,,,,,,
"Visoes Em Bancos de Dados","","","","","",,,,,,,,,,,,13,,,,,,,
"Analise de Requisitos","Engenharia de Software","","","","",,,,,,,,,,,,14,,,,,,,
"Visoes Em Bancos de Dados","","","","","",,,,,,,,,,,,15,,,,,,,
"Bancos de Dados Relacionais","","","","","",,,,,,,,,,,,16,,,,,,,
"Visoes Em Bancos de Dados","","","","","",,,,,,,,,,,,17,,,,,,,
"Bancos de Dados, Sistemas Geograficos","Metadados","Sistema de informacao, biodiversidade","","","",,,,,,,,,,,,18,,,,,,,
"Qualidade de Dados","Bancos de Dados, Sistemas Geograficos","","","","",,,,,,,,,,,,19,,,,,,,
"Bancos de Dados, Sistemas Geograficos","Sistema de informacao, biodiversidade","","","","",,,,,,,,,,,,20,,,,,,,
"Apoio A Decisa","Raciocinio baseado em casos - CBR","Workflows Cientificos","Planejamento ambiental","","",,,,,,,,,,,,21,,,,,,,
"Bancos de dados geograficos","Controle de acesso","","","","",,,,,,,,,,,,22,,,,,,,
"Gerenciamento de documentacao","Workflows Cientificos","Bancos de Dados","","","",,,,,,,,,,,,23,,,,,,,
"Bancos de Dados, Sistemas Geograficos","Metadados","Workflows Cientificos","","","",,,,,,,,,,,,24,,,,,,,
"Integração de dados climatológicos","Planejamento agro-ambiental","","","","",,,,,,,,,,,,25,,,,,,,
"Geomarketing","Sistemas de informação geográfica","","","","",,,,,,,,,,,,26,,,,,,,
"Comércio eletronico","Pregão eletronico","","","","",,,,,,,,,,,,27,,,,,,,
"Modelagem de dados","Bancos de dados móveis","Sistemas de informação geográfica","","","",,,,,,,,,,,,28,,,,,,,
"Bancos de dados geograficos","Geomarketing","Apoio a Decisão","","","",,,,,,,,,,,,29,,,,,,,
"Bancos de Dados Heterogeneos","Sistema de comercio exterior - SISCOMEX","","","","",,,,,,,,,,,,30,,,,,,,
"Workflows Cientificos","Web semantica","Web Services","","","",,,,,,,,,,,,31,,,,,,,
"Interoperabilidade","Web Services","Integração de dados heterogêneos","Qualidade de Dados","","",,,,,,,,,,,,32,,,,,,,
"Bancos de Dados, Sistemas Geograficos","","","","","",,,,,,,,,,,,33,,,,,,,
"Sistemas de informacao, agricultura","Workflows","Cadeias Produtivas","Supply chains","","",,,,,,,,,,,,34,,,,,,,
"Biodiversity Information Systems","Interoperabilidade","Sistema de informacao, biodiversidade","Ontologias","","",,,,,,,,,,,,35,,,,,,,
"Biodiversity Information Systems","Integração de dados heterogêneos","Ontologias","Servicos WEB","","",,,,,,,,,,,,36,,,,,,,
"Versoes, Sistemas Geograficos","Controle de acesso","","","","",,,,,,,,,,,,37,,,,,,,
"Supply chains","","","","","",,,,,,,,,,,,38,,,,,,,
"Mineração de dados Web","sensor network","Time series","","","",,,,,,,,,,,,39,,,,,,,
"Bancos de Dados Heterogeneos","Biodiversity Information Systems","","","","",,,,,,,,,,,,40,,,,,,,
"Bancos de Dados Heterogeneos","Metadados","","","","",,,,,,,,,,,,41,,,,,,,
"Biodiversity Information Systems","","","","","",,,,,,,,,,,,42,,,,,,,
"Scientific workflows","Annotations","","","","",,,,,,,,,,,,43,,,,,,,
"Biodiversity Information Systems","Multimodal query processing","","","","",,,,,,,,,,,,44,,,,,,,
"Annotations","eScience","","","","",,,,,,,,,,,,45,,,,,,,
"Time series","Semantic annotations","","","","",,,,,,,,,,,,46,,,,,,,
"eScience","Multiscale processing","","","","",,,,,,,,,,,,47,,,,,,,
"Time series","","","","","",,,,,,,,,,,,48,,,,,,,
"Quality in Scientific Data","","","","","",,,,,,,,,,,,49,,,,,,,
"Biodiversity Information Systems","sensor network","Complex event processing","","","",,,,,,,,,,,,50,,,,,,,
"Machine learning","Biodiversity studies","","","","",,,,,,,,,,,,51,,,,,,,
"Bancos de Dados Nao Normalizados","","","","","",,,,,,,,,,,,52,,,,,,,
"Sistemas Geograficos","","","","","",,,,,,,,,,,,,0,,,,,,
"Web semantica","Ontologias","Planejamento agro-ambiental","","","",,,,,,,,,,,,,1,,,,,,
"Bibliotecas Digitais","Bancos de dados de imagens","Sistema de informacao, biodiversidade","","","",,,,,,,,,,,,,2,,,,,,
"Supply chains","Web Services","","","","",,,,,,,,,,,,,3,,,,,,
"Digital Content Components","Content engineering","","","","",,,,,,,,,,,,,4,,,,,,
"Interação humano-computador","Interface quality - web GIS","","","","",,,,,,,,,,,,,5,,,,,,
"Sistemas de informacao geografica","","","","","",,,,,,,,,,,,,6,,,,,,
"Semantic annotations","","","","","",,,,,,,,,,,,,7,,,,,,
"Bioinformatica","Sistemas de informacao, bioinformatica","Scientific workflows","","","",,,,,,,,,,,,,8,,,,,,
"Provenance","Scientific databases","","","","",,,,,,,,,,,,,9,,,,,,
"Sistemas de informação geográfica","Sistemas Geograficos, Bancos de Dados","","","","",,,,,,,,,,,,,10,,,,,,
"sensor network","bancos de dados cientificos","eScience","","","",,,,,,,,,,,,,11,,,,,,
"Scientific workflows","Healthcare planning","","","","",,,,,,,,,,,,,12,,,,,,
"bancos de dados cientificos","Biodiversity","eScience","sensor network","","",,,,,,,,,,,,,14,,,,,,
"Interoperability","Content Management","Database systems","","","",,,,,,,,,,,,,15,,,,,,
"Graph Databases","eScience","Multidisciplinary applications","","","",,,,,,,,,,,,,16,,,,,,
"Bancos de dados geograficos","","","","","",,,,,,,,,,,,,17,,,,,,
"Time series","","","","","",,,,,,,,,,,,,,0,,,,,
"Workflows Cientificos","AI Planning","Bancos de dados genomicos","","","",,,,,,,,,,,,,,1,,,,,
"Remote Sensing","","","","","",,,,,,,,,,,,,,,0,,,,
"Bancos de Dados Relacionais","","","","","",,,,,,,,,,,,,,,1,,,,
"Planning in agriculture","","","","","",,,,,,,,,,,,,,,2,,,,
"Digital components","","","","","",,,,,,,,,,,,,,,3,,,,
"Biodiversity Information Systems","","","","","",,,,,,,,,,,,,,,4,,,,
"Interoperabilidade","","","","","",,,,,,,,,,,,,,,5,,,,
"Bancos de dados de imagens","","","","","",,,,,,,,,,,,,,,6,,,,
"Bancos de dados de imagens","","","","","",,,,,,,,,,,,,,,7,,,,
"Scientific workflows","","","","","",,,,,,,,,,,,,,,8,,,,
"Biodiversity Information Systems","","","","","",,,,,,,,,,,,,,,9,,,,
"Sistemas de informacao, agricultura","","","","","",,,,,,,,,,,,,,,10,,,,
"Sistemas de informacao, agricultura","","","","","",,,,,,,,,,,,,,,11,,,,
"Bancos de Dados","","","","","",,,,,,,,,,,,,,,12,,,,
"Web Science","Biodiversity Information Systems","","","","",,,,,,,,,,,,,,,13,,,,
"Bancos de Dados, Sistemas Geograficos","","","","","",,,,,,,,,,,,,,,14,,,,
"Bancos de dados geograficos","Bancos de Dados, Interfaces","","","","",,,,,,,,,,,,,,,15,,,,
"Bancos de Dados Temporais","Sensores","Time series","","","",,,,,,,,,,,,,,,,7,,,
"Versoes, Bancos de Dados","","","","","",,,,,,,,,,,,,,,,8,,,
"Bancos de dados geograficos","Restricoes de Integridade, Sistemas Geograficos","","","","",,,,,,,,,,,,,,,,9,,,
"Versoes, Bancos de Dados","","","","","",,,,,,,,,,,,,,,,10,,,
"Qualidade de Dados","Sistemas Geograficos, Bancos de Dados","","","","",,,,,,,,,,,,,,,,11,,,
"Bancos de dados de imagens","","","","","",,,,,,,,,,,,,,,,12,,,
"Quality in Scientific Data","","","","","",,,,,,,,,,,,,,,,13,,,
"Bancos de Dados","","","","","",,,,,,,,,,,,,,,,,0,,
"Versions in databases","","","","","",,,,,,,,,,,,,,,,,,1,
"Scientific workflows","","","","","",,,,,,,,,,,,,,,,,,2,
"Quality in Scientific Data","","","","","",,,,,,,,,,,,,,,,,,,0
