CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"INTERNACIONAL","IEEE International conference Data Engineering","Brighton","1997","Proceedings IEEE International conference Data Engineering","","","","487","496","","IEEE Press","Brighton","",0
"INTERNACIONAL","7th International Conference Databases and Expert Systems applications","Bristol","","Proceedings 7th International Conference Databases and Expert Systems applications","","","","364","370","","","Bristol","",1
"NAO_INFORMADO","7th Israeli Conference on Computer-based Systems and Software Engineering","Tel Aviv","1996","Proceedings, 7th Israeli Conference on Computer-based Systems and Software Engineering","","","","122","139","","","Haifa","",2
"NAO_INFORMADO","6th International conference Databases and Expert System Applications","","","Proceedings 6th International conference Databases and Expert System Applications","","","","574","583","","","","",3
"NAO_INFORMADO","3rd ACM Workshop on Advances in GIS","","","Proceedings 3rd ACM Workshop on Advances in GIS","","","","127","134","","","Baltimore","",4
"NAO_INFORMADO","International Conference Applications on Databases","San Jose","1995","Proceedings, International Conference Applications on Databases","","","","249","258","","","San Jose, Calif","",5
"NAO_INFORMADO","XXII SEMISH","","","Anais, XXII SEMISH","","","","340","350","","","Gramado","",6
"NAO_INFORMADO","GIS Brasil 96","","","Anais, GIS Brasil 96","","","","534","544","","","","",7
"NAO_INFORMADO","GIS Brasil 96","","","Anais, Gis Brasil 96","","","","545","553","","","Curitiba","",8
"NAO_INFORMADO","XI SBBD","","","Anais, XI SBBD","","","","20","42","","","São Carlos","",9
"NAO_INFORMADO","GIS Brasil 97","","","Anais, GIS Brasil 97","","","","","","","","Curitiba","",10
"NAO_INFORMADO","GIS Brasil 97","","","Anais, GIS Brasil 97","","","","","","","","Curitiba","",11
"NAO_INFORMADO","XII SBBD","","","Anais, XII Simposio Brasileiro de Bancos de Dados","","","","","","","","Fortaleza","",12
"INTERNACIONAL","10th SSDBM","","1998","Proc. Tenth IEEE International Conf. on Scientific and Statistical Database Management Systems","","","","48","54","","","Berlim","",13
"NAO_INFORMADO","SBBD98","","","Anais, Simposio Brasileiro de Bancos de Dados","","","","220","235","","","Maringa, PR","",14
"NAO_INFORMADO","IV SBMIDIA","","","Anais IV Simposio Brasileiro de Sistemas Multimidia e Hipermidia","","","","50","62","","","rIO DE jANEIRO, RJ","",15
"INTERNACIONAL","XXIII CLEI","Vina del Mar","1998","Anais XXIII Conferencia Latinoamericana de Informatica","","","","147","156","","","Vina del Mar, Chile","",16
"NACIONAL","XIV SIMPOSIO BRASILEIRO DE BANCOS DE DADOS","Florianopolis","1999","ANAIS, XIV SIMPOSIO BRASILEIRO DE BANCOS DE DADOS","","","","411","425","","","Florianopolis, SC","",17
"INTERNACIONAL","6th ACM Symposium on Geographic Information Systems","WASHINGTON, dc","1998","Proceedings, 6th ACM Symposium on Geographic Information Systems","","","","88","93","","","Washington, USA","",18
"NAO_INFORMADO","DEXA'94","","","Anais, International DEXA Conference","","","","465","474","","","Atenas","",19
