NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,TIPO-INGLES,OUTRAS-ORIENTACOES-CONCLUIDAS_Id
"INICIACAO_CIENTIFICA","","Ambiente Computacional para Comparação de Descritores de Imagem","2003","Brasil","Português","","NAO","","","",0
"INICIACAO_CIENTIFICA","","Visualização de Imagens Médicas em Superfícies de Corte","2003","Brasil","Português","","NAO","","","",1
"INICIACAO_CIENTIFICA","","Segmentação Interativa de Imagens Médicas por Perseguição de Bordas","2004","Brasil","Português","","NAO","","","",2
"INICIACAO_CIENTIFICA","","Segmentação Tridimensional de Imagens Médicas por Operações Conexas","2002","Brasil","Português","","NAO","","","",3
"INICIACAO_CIENTIFICA","","Ambiente Computacional para Projeto e Ensino de Técnicas de Processamento de Imagens usando Grafos","2002","Brasil","Português","","NAO","","","",4
"ORIENTACAO-DE-OUTRA-NATUREZA","Co-supervisão de Pós-doutorado","Detecção de displasias corticais focais através da caracterização do córtex humano em imagens cerebrais de RM para auxílio na diagnose de epilepsia","2004","Brasil","Português","","NAO","","","",5
"ORIENTACAO-DE-OUTRA-NATUREZA","Aperfeiçoamento","Visualização 3D de Imagens Médicas","2004","Brasil","Português","","NAO","","","",6
"MONOGRAFIA_DE_CONCLUSAO_DE_CURSO_APERFEICOAMENTO_E_ESPECIALIZACAO","","Classificação Água, Vegetaçcão e Zonas Urbanas pelo Método do Paralelepípedo","2004","Brasil","Português","","NAO","","","",7
"INICIACAO_CIENTIFICA","","Projeto de Interfaces Gráficas","2005","Brasil","Português","","NAO","","","",8
"INICIACAO_CIENTIFICA","","Visualização 3D baseada em Pontos","2006","Brasil","Português","","NAO","","","",9
"INICIACAO_CIENTIFICA","","Segmentação Interativa de Imagens Naturais baseada na Transformada Imagem-Floresta","2009","Brasil","Português","","NAO","","","",10
"ORIENTACAO-DE-OUTRA-NATUREZA","Aperfeiçoamento","Análise de Imagens de Parasitos Intestinais do Homem","2008","Brasil","Português","","NAO","","","",11
"INICIACAO_CIENTIFICA","","Estudo, Implementação e Teste de Rotinas para Reconhecimento de Faces em Andróide","2014","Brasil","Português","","NAO","","","",12
"INICIACAO_CIENTIFICA","","Evaluating Active Learning Strategies for Image Annotation of Intestinal Parasites","2016","Brasil","Português","","NAO","","","",13
"INICIACAO_CIENTIFICA","","Análise de Plantações por Índices de Vegetação obtidos de Imagens de Satélite","2005","Brasil","Português","","NAO","","","",14
