NATUREZA,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
Tese de doutorado,Design of Convolutional Networks guided by Visual Analytics,2017,Brasil,Inglês,0
Tese de doutorado,Probabilistic Object Models for Segmentation and Structural Asymmetry Analysis of the Human Brain,2015,Brasil,Inglês,1
Tese de doutorado,Interactive Annotation of Remote Sensing Images,2015,Brasil,Inglês,2
