NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id
COMPLETO,"Body-wide hierarchical fuzzy modeling, recognition, and delineation of anatomy in medical images",2014,,Inglês,VARIOS,,NAO,NAO,45
COMPLETO,An active learning paradigm based on a priori data reduction and organization,2014,,Inglês,MEIO_DIGITAL,,NAO,NAO,46
COMPLETO,"High-Resolution Inflorescence Phenotyping Using a Novel Image Analysis Pipeline, PANorama",2014,,Português,NAO_INFORMADO,,NAO,NAO,47
COMPLETO,A path- and label-cost propagation approach to speedup the training of the optimum-path forest classifier,2014,,Inglês,MEIO_DIGITAL,[doi:10.1016/j.patrec.2013.12.018],NAO,NAO,48
COMPLETO,Toward Satellite-Based Land Cover Classification Through Optimum-Path Forest,2014,,Português,MEIO_DIGITAL,,NAO,NAO,49
COMPLETO,Learning Person-Specific Representations from Faces in the Wild,2014,,Inglês,NAO_INFORMADO,,NAO,NAO,50
COMPLETO,Hybrid approaches for interactive image segmentation using the Live Markers paradigm,2014,,Inglês,VARIOS,,NAO,NAO,51
COMPLETO,A nature-inspired approach to speed up optimum-path forest clustering and its application to intrusion detection in computer networks,2015,,Inglês,VARIOS,,NAO,NAO,52
COMPLETO,Swarm-based Descriptor Combination and its Application for Image Classification,2014,,Português,VARIOS,,NAO,NAO,53
COMPLETO,Duplicate and conquer: multiple homologs of phosphorus-starvation tolerance 1 enhance phosphorus acquisition and sorghum performance on low-P soils,2014,,Inglês,VARIOS,[doi:10.1104/pp.114.243949],NAO,NAO,54
COMPLETO,"Deep Representations for Iris, Face, and Fingerprint Spoofing Detection",2015,,Português,MEIO_DIGITAL,[http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7029061&isnumber=7059276][doi:10.1109/tifs.2015.2398817],NAO,NAO,55
COMPLETO,Interactive Multiscale Classification of High-Resolution Remote Sensing Images,2013,,Português,MEIO_DIGITAL,,NAO,NAO,56
COMPLETO,Improving land cover classification through contextual-based optimum-path forest,2015,,Inglês,MEIO_DIGITAL,[doi:10.1016/j.ins.2015.06.020],NAO,NAO,57
COMPLETO,Robust active learning for the diagnosis of parasites,2015,,Inglês,MEIO_DIGITAL,[doi:10.1016/j.patcog.2015.05.020],NAO,NAO,58
COMPLETO,Efficient and Effective Hierarchical Feature Propagation,2014,,Português,MEIO_DIGITAL,,NAO,NAO,59
COMPLETO,Automatic Segmentation and Classification of Human Intestinal Parasites From Microscopy Images,2013,,Português,MEIO_DIGITAL,,NAO,NAO,60
COMPLETO,Comparative study of five techniques for the diagnosis of canine gastrointestinal parasites,2015,,Inglês,MEIO_DIGITAL,,NAO,NAO,61
COMPLETO,Medical image segmentation via atlases and fuzzy object models: Improving efficacy through optimum object search and fewer models,2016,,Inglês,MEIO_DIGITAL,[doi:10.1118/1.4938577],NAO,NAO,62
COMPLETO,Genome-wide association and high-resolution phenotyping link Oryza sativa panicle traits to numerous trait-specific QTL clusters,2016,,Português,MEIO_DIGITAL,,NAO,NAO,63
COMPLETO,"Evolving technologies for growing, imaging and analyzing 3D root system architecture of crop plants",2016,,Inglês,MEIO_DIGITAL,[doi:10.1111/jipb.12456],NAO,NAO,64
COMPLETO,Choosing the Most Effective Pattern Classification Model under Learning-Time Constraint,2015,,Inglês,MEIO_DIGITAL,[doi:10.1371/journal.pone.0129947],NAO,NAO,65
COMPLETO,Validation of a new technique to detect Cryptosporidium spp. oocysts in bovine feces,2016,,Inglês,MEIO_DIGITAL,,NAO,NAO,66
COMPLETO,TF-Test Modified: New Diagnostic Tool for Human Enteroparasitosis,2016,,Inglês,MEIO_DIGITAL,[doi:10.1002/jcla.21854],NAO,NAO,67
COMPLETO,Shape feature extraction and description based on tensor scale,2010,,Inglês,MEIO_DIGITAL,,NAO,NAO,68
COMPLETO,Efficient and Effective Hierarchical Feature Propagation,2014,,Português,MEIO_DIGITAL,[doi:10.1109/jstars.2014.2341175],NAO,NAO,69
COMPLETO,Improving Semi-Supervised Learning through Optimum Connectivity,2016,,Inglês,MEIO_DIGITAL,[http://www.sciencedirect.com/science/article/pii/S0031320316300668][doi:10.1016/j.patcog.2016.04.020],NAO,NAO,70
COMPLETO,Efficient and Effective Hierarchical Feature Propagation,2014,,Português,MEIO_DIGITAL,[doi:10.1109/jstars.2014.2341175],NAO,NAO,71
COMPLETO,IFTrace: Video segmentation of deformable objects using the Image Foresting Transform,2012,,Inglês,MEIO_DIGITAL,,NAO,NAO,72
COMPLETO,Optimum-Path Forest based on k-connectivity: Theory and applications,2017,,Português,VARIOS,[http://www.sciencedirect.com/science/article/pii/S0167865516302057],NAO,NAO,73
COMPLETO,Visualizing the Hidden Activity of Artificial Neural Networks,2017,,Português,MEIO_DIGITAL,[http://ieeexplore.ieee.org/document/7539329/][doi:10.1109/tvcg.2016.2598838],NAO,NAO,74
COMPLETO,A novel algorithm for feature selection using Harmony Search and its application for non-technical losses detection,2011,,Inglês,MEIO_DIGITAL,,NAO,NAO,75
NAO_INFORMADO,"HIGH PREVALENCE OF Blastocystis spp. INFECTION IN CHILDREN AND STAFF MEMBERS ATTENDING PUBLIC URBAN SCHOOLS IN SÃO PAULO STATE, BRAZIL",2016,,Português,NAO_INFORMADO,,NAO,NAO,
NAO_INFORMADO,Medical image registration based on watershed transform from greyscale marker and multi-scale parameter search,2015,,Inglês,NAO_INFORMADO,,NAO,NAO,
