BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-JULGADORA_Id
0,"344",0
1,"352",0
2,"368",0
3,"345",0
