PARTICIPACAO-EM-PROJETO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADES-DE-PARTICIPACAO-EM-PROJETO_Id
0,"31","ANTERIOR","8","2003","10","2005","007901000997","Instituto de Computação","007901001993","Departamento de Sistemas de Informação",0
1,"32","ANTERIOR","3","1998","5","2004","007901000997","Instituto de Computação","007901001993","Departamento de Sistemas de Informação",0
2,"34","ATUAL","6","2004","","","007901000997","Instituto de Computação","007901001993","Departamento de Sistemas de Informação",0
3,"37","ANTERIOR","3","1999","2","2001","007901000997","Instituto de Computação","007901001993","Departamento de Sistemas de Informação",0
4,"38","ANTERIOR","3","2001","2","2003","007901000997","Instituto de Computação","007901001993","Departamento de Sistemas de Informação",0
5,"39","ATUAL","3","2003","","","007901000997","Instituto de Computação","007901001993","Departamento de Sistemas de Informação",0
6,"46","ATUAL","2","2005","","","985600001993","Departamento de Sistemas de Informação","985600001993","Departamento de Sistemas de Informação",0
7,"47","ATUAL","1","2005","","","985600001993","Departamento de Sistemas de Informação","985600001993","Departamento de Sistemas de Informação",0
8,"55","ANTERIOR","","2008","","2011","007901000997","Instituto de Computação","","",0
9,"56","ANTERIOR","","2008","","2013","007901000997","Instituto de Computação","","",0
10,"57","ANTERIOR","","2005","","2008","007901000997","Instituto de Computação","","",0
11,"58","ANTERIOR","","2009","","2011","007901000997","Instituto de Computação","","",0
12,"59","ANTERIOR","","2009","","2011","007901000997","Instituto de Computação","","",0
13,"60","ANTERIOR","","2011","","2015","007901000997","Instituto de Computação","","",0
14,"62","ANTERIOR","","2010","","2014","007901000997","Instituto de Computação","","",0
15,"63","ATUAL","","2012","","","007901000997","Instituto de Computação","","",0
16,"65","ATUAL","","2013","","","007901000997","Instituto de Computação","","",0
17,"66","ATUAL","","2015","","","007901000997","Instituto de Computação","","",0
18,"68","ATUAL","","2017","","","007901000997","Instituto de Computação","","",0
19,"33","ANTERIOR","6","1998","4","2001","007901000997","Instituto de Computação","007901001993","Departamento de Sistemas de Informação",0
20,"61","ANTERIOR","","2011","","2012","113101000993","Robert Holley Center (USDA)","","",1
21,"67","ATUAL","","2015","","","151401000991","Center for Advanced Methods in Biological Image Analysis","","",2
