NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-OFICINA_Id
"XI Semana Acadêmica do Centro de Tecnologia da UFSM","","","","Santa Maria","",0
"IV Semana da Computação na UNESP","","","","São José do Rio Preto","",1
