ARTIGO-PUBLICADO_Id,SEQUENCIA-PRODUCAO,ORDEM-IMPORTANCIA,ARTIGOS-PUBLICADOS_Id
0,"11","70",0
1,"12","71",0
2,"21","69",0
3,"29","68",0
4,"32","66",0
5,"50","67",0
6,"53","65",0
7,"54","64",0
8,"58","62",0
9,"61","63",0
10,"87","61",0
11,"94","60",0
12,"107","59",0
13,"138","58",0
14,"161","55",0
15,"162","49",0
16,"163","57",0
17,"166","50",0
18,"167","52",0
19,"178","56",0
20,"190","47",0
21,"191","53",0
22,"196","54",0
23,"225","51",0
24,"229","46",0
25,"230","43",0
26,"231","45",0
27,"250","44",0
28,"269","37",0
29,"279","48",0
30,"280","36",0
31,"294","42",0
32,"298","38",0
33,"300","39",0
34,"301","35",0
35,"302","72",0
36,"303","34",0
37,"304","33",0
38,"305","41",0
39,"322","32",0
40,"327","28",0
41,"331","29",0
42,"339","31",0
43,"384","25",0
44,"392","26",0
45,"393","16",0
46,"394","22",0
47,"395","19",0
48,"396","24",0
49,"397","21",0
50,"406","17",0
51,"407","15",0
52,"408","14",0
53,"409","23",0
54,"410","20",0
55,"426","13",0
56,"427","30",0
57,"428","12",0
58,"429","11",0
59,"430","18",0
60,"431","27",0
61,"433","9",0
62,"436","8",0
63,"438","7",0
64,"463","6",0
65,"466","10",0
66,"482","5",0
67,"483","4",0
68,"496","76",0
69,"497","74",0
70,"498","3",0
71,"499","73",0
72,"500","75",0
73,"508","2",0
74,"509","1",0
75,"295","40",0
