CAPITULO-DE-LIVRO-PUBLICADO_Id,SEQUENCIA-PRODUCAO,CAPITULOS-DE-LIVROS-PUBLICADOS_Id
0,"39",0
1,"86",0
2,"173",0
3,"174",0
4,"185",0
5,"388",0
6,"399",0
7,"400",0
8,"493",0
9,"494",0
10,"398",0
