NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,EDITORACAO_Id
"ANAIS","Proceedings of SIBGRAPI 2007: XX Brazilian Symposium on Computer Graphics and Image Processing","2007","Estados Unidos","Inglês","IMPRESSO","","NAO","","",0
"PERIODICO","Special issue, 20th SIBGRAPI: Advances in Image Processing and Computer Vision, Pattern Recognition Letters","2010","Estados Unidos","Inglês","NAO_INFORMADO","","NAO","","",1
