TRABALHO-EM-EVENTOS_Id,SEQUENCIA-PRODUCAO,TRABALHOS-EM-EVENTOS_Id
0,"1",0
1,"2",0
2,"3",0
3,"4",0
4,"5",0
5,"6",0
6,"7",0
7,"10",0
8,"14",0
9,"15",0
10,"16",0
11,"17",0
12,"18",0
13,"19",0
14,"20",0
15,"24",0
16,"25",0
17,"26",0
18,"27",0
19,"28",0
20,"31",0
21,"33",0
22,"34",0
23,"36",0
24,"37",0
25,"38",0
26,"51",0
27,"52",0
28,"55",0
29,"56",0
30,"57",0
31,"62",0
32,"68",0
33,"69",0
34,"71",0
35,"72",0
36,"73",0
37,"92",0
38,"93",0
39,"97",0
40,"99",0
41,"108",0
42,"109",0
43,"110",0
44,"111",0
45,"112",0
46,"113",0
47,"114",0
48,"115",0
49,"116",0
50,"131",0
51,"137",0
52,"139",0
53,"140",0
54,"144",0
55,"145",0
56,"146",0
57,"147",0
58,"148",0
59,"149",0
60,"160",0
61,"172",0
62,"179",0
63,"180",0
64,"181",0
65,"182",0
66,"186",0
67,"188",0
68,"189",0
69,"192",0
70,"193",0
71,"194",0
72,"195",0
73,"197",0
74,"199",0
75,"200",0
76,"205",0
77,"206",0
78,"207",0
79,"218",0
80,"219",0
81,"222",0
82,"223",0
83,"224",0
84,"236",0
85,"237",0
86,"238",0
87,"239",0
88,"240",0
89,"241",0
90,"242",0
91,"243",0
92,"244",0
93,"245",0
94,"251",0
95,"252",0
96,"258",0
97,"259",0
98,"260",0
99,"261",0
100,"267",0
101,"271",0
102,"272",0
103,"273",0
104,"274",0
105,"275",0
106,"277",0
107,"278",0
108,"284",0
109,"308",0
110,"309",0
111,"310",0
112,"312",0
113,"313",0
114,"314",0
115,"315",0
116,"316",0
117,"317",0
118,"318",0
119,"319",0
120,"335",0
121,"336",0
122,"337",0
123,"340",0
124,"359",0
125,"360",0
126,"385",0
127,"386",0
128,"387",0
129,"405",0
130,"411",0
131,"412",0
132,"413",0
133,"414",0
134,"415",0
135,"416",0
136,"417",0
137,"418",0
138,"419",0
139,"425",0
140,"439",0
141,"440",0
142,"441",0
143,"442",0
144,"443",0
145,"444",0
146,"445",0
147,"486",0
148,"487",0
149,"488",0
150,"510",0
151,"511",0
152,"512",0
153,"96",0
